event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-24 11:40:04,HC-0096,HC-0010 dir HC-0096,24,132.75,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0259,HC-0267 dir HC-0259,24,80.31,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0293,HC-0399 dir HC-0293,24,782.93,78.8,8X MIMO-B,-44.8,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0375,HC-0361 dir HC-0375,24,119.32,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0417,HC-0128 dir HC-0417,24,1094.72,86,8X MIMO-B,-52,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0114,HC-0115 dir HC-0114,24,1206.47,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0028,HC-0382 dir HC-0028,24,17.2,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0166,HC-0287 dir HC-0166,24,156.55,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0166,HC-0171 dir HC-0166,24,125.65,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0166,HC-0209 dir HC-0166,24,110.47,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0371,HC-0286 dir HC-0371,24,960.64,87,8X MIMO-B,-53,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0371,HC-0303 dir HC-0371,24,15.23,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0371,HC-0282 dir HC-0371,24,38.27,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0076,HC-0054 dir HC-0076,24,30.08,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0094,HC-0145 dir HC-0094,24,10.18,86,8X MIMO-B,-52,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0211,HC-0405 dir HC-0211,24,993.64,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0166,HC-0025 dir HC-0166,24,1300.97,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0099,HC-0036 dir HC-0099,24,35.26,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0211,HC-0268 dir HC-0211,24,1407.08,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0308,HC-0123 dir HC-0308,24,355.54,92.5,8X MIMO-B,-58.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0289,HC-0226 dir HC-0289,24,1194.54,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0381,HC-0337 dir HC-0381,24,27.6,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0120,HC-0202 dir HC-0120,24,330.63,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0166,HC-0340 dir HC-0166,24,119.6,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-10-24 11:40:04,HC-0368,HC-0074 dir HC-0368,24,31.26,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
