event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-22 18:52:47,HC-0096,HC-0010 dir HC-0096,24,105.03,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0259,HC-0267 dir HC-0259,24,1556.5,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0293,HC-0399 dir HC-0293,24,72.34,78.8,8X MIMO-B,-44.8,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0375,HC-0361 dir HC-0375,24,95.31,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0417,HC-0128 dir HC-0417,24,38.5,93,8X MIMO-B,-59,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0114,HC-0115 dir HC-0114,24,1988.36,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0028,HC-0382 dir HC-0028,24,1051.85,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0166,HC-0287 dir HC-0166,24,99.7,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0166,HC-0171 dir HC-0166,24,95.64,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0166,HC-0209 dir HC-0166,24,88.5,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0371,HC-0286 dir HC-0371,24,1248.86,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0371,HC-0303 dir HC-0371,24,1160.46,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0371,HC-0282 dir HC-0371,24,40.22,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0076,HC-0054 dir HC-0076,24,21.45,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0094,HC-0145 dir HC-0094,24,9.36,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0211,HC-0405 dir HC-0211,24,1536.01,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0166,HC-0025 dir HC-0166,24,92.11,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0099,HC-0036 dir HC-0099,24,120.63,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0211,HC-0268 dir HC-0211,24,1060.43,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0308,HC-0123 dir HC-0308,24,450.92,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0289,HC-0226 dir HC-0289,24,1002.17,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0381,HC-0337 dir HC-0381,24,23.5,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0120,HC-0202 dir HC-0120,24,136.94,77.9,8X MIMO-B,-43.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0166,HC-0340 dir HC-0166,24,89.67,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0368,HC-0074 dir HC-0368,24,13726.57,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0253,HC-0155 dir HC-0253,24,1125.16,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0283,HC-0270 dir HC-0283,24,735.51,75.2,8X MIMO-B,-41.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0253,HC-0266 dir HC-0253,24,633.38,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0042,HC-0407 dir HC-0042,24,867.37,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0264,HC-0358 dir HC-0264,24,757.31,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0242,HC-0090 dir HC-0242,24,2373.56,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0210,HC-0184 dir HC-0210,24,92.51,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0242,HC-0110 dir HC-0242,24,1266.89,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0230,HC-0052 dir HC-0230,24,33.56,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0368,HC-0164 dir HC-0368,24,2300.47,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0253,HC-0068 dir HC-0253,24,196.19,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0256,HC-0035 dir HC-0256,24,83.3,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0042,HC-0238 dir HC-0042,24,42.9,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0379,HC-0343 dir HC-0379,24,2483.77,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0261,HC-0402 dir HC-0261,24,354.8,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0261,HC-0401 dir HC-0261,24,78.19,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-22 18:52:47,HC-0219,HC-0290 dir HC-0219,24,19.42,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
