event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-03 18:02:04,HC-0096,HC-0010 dir HC-0096,24,646.6,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0259,HC-0267 dir HC-0259,24,1141.71,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0293,HC-0399 dir HC-0293,24,62.17,79.2,8X MIMO-B,-45.2,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0375,HC-0361 dir HC-0375,24,82.74,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0417,HC-0128 dir HC-0417,24,39.19,86,8X MIMO-B,-52,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0114,HC-0115 dir HC-0114,24,1356.5,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0028,HC-0382 dir HC-0028,24,309.38,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0166,HC-0287 dir HC-0166,24,83.1,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0166,HC-0171 dir HC-0166,24,432.45,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0166,HC-0209 dir HC-0166,24,77.03,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0371,HC-0286 dir HC-0371,24,21.81,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0371,HC-0303 dir HC-0371,24,14.45,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0371,HC-0282 dir HC-0371,24,742.34,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0076,HC-0054 dir HC-0076,24,22.69,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0094,HC-0145 dir HC-0094,24,8.33,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0211,HC-0405 dir HC-0211,24,1172.47,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0166,HC-0025 dir HC-0166,24,80.58,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0099,HC-0036 dir HC-0099,24,84.85,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0211,HC-0268 dir HC-0211,24,1217.15,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0308,HC-0123 dir HC-0308,24,550.14,91.9,8X MIMO-B,-57.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0289,HC-0226 dir HC-0289,24,30.2,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0381,HC-0337 dir HC-0381,24,21.21,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0120,HC-0202 dir HC-0120,24,109.79,79.2,8X MIMO-B,-45.2,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0166,HC-0340 dir HC-0166,24,78.73,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0368,HC-0074 dir HC-0368,24,14161.68,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-03 18:02:04,HC-0253,HC-0155 dir HC-0253,24,669.23,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
