event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-25 04:00:39,HC-0096,HC-0010 dir HC-0096,24,107.69,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0259,HC-0267 dir HC-0259,24,71.54,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0293,HC-0399 dir HC-0293,24,686.88,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0375,HC-0361 dir HC-0375,24,101.51,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0417,HC-0128 dir HC-0417,24,37.61,89,8X MIMO-B,-55,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0114,HC-0115 dir HC-0114,24,35.08,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0028,HC-0382 dir HC-0028,24,17.74,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0166,HC-0287 dir HC-0166,24,105.93,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0166,HC-0171 dir HC-0166,24,101.81,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0166,HC-0209 dir HC-0166,24,95.03,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0371,HC-0286 dir HC-0371,24,20.61,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0371,HC-0303 dir HC-0371,24,15.5,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0371,HC-0282 dir HC-0371,24,39.22,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0076,HC-0054 dir HC-0076,24,25.45,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0094,HC-0145 dir HC-0094,24,9.24,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0211,HC-0405 dir HC-0211,24,35.9,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0166,HC-0025 dir HC-0166,24,99,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0099,HC-0036 dir HC-0099,24,39.33,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0211,HC-0268 dir HC-0211,24,34.65,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 04:00:39,HC-0308,HC-0123 dir HC-0308,24,10.41,93.9,8X MIMO-B,-59.9,FTP/CAMBIUM
