event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-25 05:10:43,HC-0096,HC-0010 dir HC-0096,24,107.89,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0259,HC-0267 dir HC-0259,24,32,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0293,HC-0399 dir HC-0293,24,69.57,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0375,HC-0361 dir HC-0375,24,100.89,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0417,HC-0128 dir HC-0417,24,38.41,89,8X MIMO-B,-55,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0114,HC-0115 dir HC-0114,24,165.71,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0028,HC-0382 dir HC-0028,24,24.4,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0166,HC-0287 dir HC-0166,24,105.35,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0166,HC-0171 dir HC-0166,24,101.34,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0166,HC-0209 dir HC-0166,24,94.37,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0371,HC-0286 dir HC-0371,24,169.09,90.2,8X MIMO-B,-56.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0371,HC-0303 dir HC-0371,24,16.43,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0371,HC-0282 dir HC-0371,24,40.39,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0076,HC-0054 dir HC-0076,24,25.3,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0094,HC-0145 dir HC-0094,24,9.55,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0211,HC-0405 dir HC-0211,24,35.59,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0166,HC-0025 dir HC-0166,24,98.16,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0099,HC-0036 dir HC-0099,24,40.3,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0211,HC-0268 dir HC-0211,24,34.85,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0308,HC-0123 dir HC-0308,24,10.45,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0289,HC-0226 dir HC-0289,24,288.48,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0381,HC-0337 dir HC-0381,24,22.76,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0120,HC-0202 dir HC-0120,24,128.64,77.9,8X MIMO-B,-43.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0166,HC-0340 dir HC-0166,24,95.21,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0368,HC-0074 dir HC-0368,24,11838.83,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0253,HC-0155 dir HC-0253,24,40.93,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0283,HC-0270 dir HC-0283,24,11.21,74.5,8X MIMO-B,-40.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0253,HC-0266 dir HC-0253,24,57.49,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0042,HC-0407 dir HC-0042,24,59.85,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0264,HC-0358 dir HC-0264,24,2241.87,87,8X MIMO-B,-53,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0242,HC-0090 dir HC-0242,24,197.63,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0210,HC-0184 dir HC-0210,24,97.94,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0242,HC-0110 dir HC-0242,24,38.82,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0230,HC-0052 dir HC-0230,24,32.35,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0368,HC-0164 dir HC-0368,24,47.75,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0253,HC-0068 dir HC-0253,24,37.97,88.5,6X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0256,HC-0035 dir HC-0256,24,86.44,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0042,HC-0238 dir HC-0042,24,43.74,85,8X MIMO-B,-51,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0379,HC-0343 dir HC-0379,24,45.44,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0261,HC-0402 dir HC-0261,24,106.8,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0261,HC-0401 dir HC-0261,24,82.22,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0219,HC-0290 dir HC-0219,24,18.86,79.9,8X MIMO-B,-45.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0219,HC-0349 dir HC-0219,24,14.08,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0256,HC-0413 dir HC-0256,24,82.51,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0293,HC-0027 dir HC-0293,24,529.43,98.9,8X MIMO-B,-64.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0096,HC-0255 dir HC-0096,24,109.95,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0134,HC-0274 dir HC-0134,24,11.76,103.8,6X MIMO-B,-69.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0386,HC-0100 dir HC-0386,24,88.61,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0346,HC-0317 dir HC-0346,24,104.25,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0161,HC-0329 dir HC-0161,24,44.08,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0289,HC-0396 dir HC-0289,24,23.45,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0157,HC-0217 dir HC-0157,24,11.78,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0022,HC-0245 dir HC-0022,24,90.36,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0376,HC-0277 dir HC-0376,24,80.33,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0289,HC-0418 dir HC-0289,24,1054.78,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0418,HC-0414 dir HC-0418,24,859.06,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0140,HC-0139 dir HC-0140,24,34.14,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0350,HC-0021 dir HC-0350,24,36.55,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0211,HC-0029 dir HC-0211,24,54.94,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0386,HC-0321 dir HC-0386,24,108.93,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0374,HC-0360 dir HC-0374,24,108.52,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0374,HC-0146 dir HC-0374,24,114.18,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0380,HC-0073 dir HC-0380,24,24.19,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0011 dir HC-0385,24,111.45,90,8X MIMO-B,-56,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0374,HC-0188 dir HC-0374,24,110.8,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0297,HC-0102 dir HC-0297,24,25.2,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0302 dir HC-0385,24,133.63,80,8X MIMO-B,-46,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0085 dir HC-0385,24,1616.85,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0347,HC-0013 dir HC-0347,24,153.49,73.8,8X MIMO-B,-39.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0291,HC-0194 dir HC-0291,24,132.23,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0354 dir HC-0385,24,107.45,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0339 dir HC-0385,24,107.35,80,8X MIMO-B,-46,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0385,HC-0250 dir HC-0385,24,5448.06,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0370,HC-0197 dir HC-0370,24,14.89,82.8,8X MIMO-B,-48.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0323,HC-0045 dir HC-0323,24,85.48,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0323,HC-0251 dir HC-0323,24,82.32,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0005,HC-0252 dir HC-0005,24,112.32,70.9,8X MIMO-B,-36.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0077,HC-0097 dir HC-0077,24,106.75,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0137,HC-0333 dir HC-0137,24,476.39,106.5,6X MIMO-B,-72.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0376,HC-0260 dir HC-0376,24,77.34,85.9,8X MIMO-B,-51.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0373,HC-0362 dir HC-0373,24,103.68,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0157,HC-0086 dir HC-0157,24,11.51,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0330,HC-0070 dir HC-0330,24,103.3,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0389,HC-0227 dir HC-0389,24,130.78,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0389,HC-0397 dir HC-0389,24,139.89,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0370,HC-0275 dir HC-0370,24,17.35,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0237,HC-0071 dir HC-0237,24,78.98,100.9,8X MIMO-B,-66.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0048,HC-0066 dir HC-0048,24,138.46,79.9,8X MIMO-B,-45.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0342,HC-0301 dir HC-0342,24,957.39,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0048,HC-0280 dir HC-0048,24,110.63,85,8X MIMO-B,-51,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0111,HC-0095 dir HC-0111,24,142.29,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0111,HC-0162 dir HC-0111,24,138.48,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0295,HC-0353 dir HC-0295,24,625.71,100.9,6X MIMO-B,-66.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0093,HC-0365 dir HC-0093,24,61.39,85.9,8X MIMO-B,-51.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0208,HC-0271 dir HC-0208,24,48.66,81.8,8X MIMO-B,-47.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0048,HC-0272 dir HC-0048,24,110.21,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0240,HC-0180 dir HC-0240,24,129.47,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0240,HC-0313 dir HC-0240,24,157.55,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0016,HC-0355 dir HC-0016,24,271.9,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0300,HC-0201 dir HC-0300,24,45.05,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0263,HC-0181 dir HC-0263,24,11.1,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0081,HC-0127 dir HC-0081,24,292.28,96.8,8X MIMO-B,-62.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0081,HC-0398 dir HC-0081,24,80.18,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0376,HC-0136 dir HC-0376,24,80.13,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0055,HC-0159 dir HC-0055,24,27.87,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0055,HC-0207 dir HC-0055,24,36.53,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0335,HC-0281 dir HC-0335,24,26.36,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0140,HC-0098 dir HC-0140,24,38.92,85.9,8X MIMO-B,-51.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0381,HC-0411 dir HC-0381,24,23.74,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0347,HC-0258 dir HC-0347,24,132.04,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0081,HC-0039 dir HC-0081,24,80.6,87,8X MIMO-B,-53,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0140,HC-0392 dir HC-0140 ,24,38.02,72.9,8X MIMO-B,-38.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0381,HC-0126 dir HC-0381,24,251,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0347,HC-0195 dir HC-0347,24,133.17,90,8X MIMO-B,-56,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0060,HC-0216 dir HC-0060,24,85.78,77.8,8X MIMO-B,-43.8,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0336,HC-0341 dir HC-0336,24,106.45,85.9,8X MIMO-B,-51.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0017,HC-0408 dir HC-0017,24,106.66,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0060,HC-0012 dir HC-0060,24,77.95,78.2,8X MIMO-B,-44.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0037,HC-0344 dir HC-0037,24,20.29,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0298,HC-0403 dir HC-0298,24,153.68,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0407,HC-0107 dir HC-0407,24,55.28,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0316,HC-0254 dir HC-0316,24,82.51,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0261,HC-0225 dir HC-0261,24,1213,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0140,HC-0083 dir HC-0140,24,34.53,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0375,HC-0014 dir HC-0375,24,117.99,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0151,HC-0046 dir HC-0151,24,11.74,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0380,HC-0065 dir HC-0380,24,37.95,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0137,HC-0288 dir HC-0137,24,84.21,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-25 05:10:43,HC-0382,HC-0416 dir HC-0382,24,20.87,95.2,8X MIMO-B,-61.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0096,HC-0010 dir HC-0096,24,110.86,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0259,HC-0267 dir HC-0259,24,31.83,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0293,HC-0399 dir HC-0293,24,69.32,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0375,HC-0361 dir HC-0375,24,100.74,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0417,HC-0128 dir HC-0417,24,38.05,88.2,8X MIMO-B,-54.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0114,HC-0115 dir HC-0114,24,175.3,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0028,HC-0382 dir HC-0028,24,16.69,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0166,HC-0287 dir HC-0166,24,105.17,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0166,HC-0171 dir HC-0166,24,101.14,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0166,HC-0209 dir HC-0166,24,94.16,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0371,HC-0286 dir HC-0371,24,272.87,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0371,HC-0303 dir HC-0371,24,15.76,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0371,HC-0282 dir HC-0371,24,39.13,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0076,HC-0054 dir HC-0076,24,25.38,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0094,HC-0145 dir HC-0094,24,10.02,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0211,HC-0405 dir HC-0211,24,35.72,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0166,HC-0025 dir HC-0166,24,98.22,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0099,HC-0036 dir HC-0099,24,40.24,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0211,HC-0268 dir HC-0211,24,34.71,88.8,8X MIMO-B,-54.8,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0308,HC-0123 dir HC-0308,24,10.5,94.2,8X MIMO-B,-60.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0289,HC-0226 dir HC-0289,24,821.08,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0381,HC-0337 dir HC-0381,24,22.63,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0120,HC-0202 dir HC-0120,24,128.35,77.9,8X MIMO-B,-43.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0166,HC-0340 dir HC-0166,24,95.11,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0368,HC-0074 dir HC-0368,24,12348.59,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0253,HC-0155 dir HC-0253,24,40.7,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0283,HC-0270 dir HC-0283,24,11.46,74.5,6X MIMO-B,-40.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0253,HC-0266 dir HC-0253,24,57.74,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0042,HC-0407 dir HC-0042,24,60.6,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0264,HC-0358 dir HC-0264,24,2208.4,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0242,HC-0090 dir HC-0242,24,147.33,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0210,HC-0184 dir HC-0210,24,97.97,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0242,HC-0110 dir HC-0242,24,38.58,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-25 05:15:43,HC-0230,HC-0052 dir HC-0230,24,32.24,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
