event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-23 17:24:15,HC-0096,HC-0010 dir HC-0096,24,109.03,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0259,HC-0267 dir HC-0259,24,1186.05,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0293,HC-0399 dir HC-0293,24,83.21,78.8,8X MIMO-B,-44.8,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0375,HC-0361 dir HC-0375,24,98.1,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0417,HC-0128 dir HC-0417,24,35.32,89.8,8X MIMO-B,-55.8,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0114,HC-0115 dir HC-0114,24,1294.18,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0028,HC-0382 dir HC-0028,24,20.42,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0166,HC-0287 dir HC-0166,24,101.34,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0166,HC-0171 dir HC-0166,24,97.44,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0166,HC-0209 dir HC-0166,24,91.49,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0371,HC-0286 dir HC-0371,24,237.4,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0371,HC-0303 dir HC-0371,24,15.28,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0371,HC-0282 dir HC-0371,24,42.48,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0076,HC-0054 dir HC-0076,24,24.26,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0094,HC-0145 dir HC-0094,24,9.4,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0211,HC-0405 dir HC-0211,24,460.28,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0166,HC-0025 dir HC-0166,24,91.97,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0099,HC-0036 dir HC-0099,24,38.37,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0211,HC-0268 dir HC-0211,24,1192.89,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0308,HC-0123 dir HC-0308,24,13.72,91.9,8X MIMO-B,-57.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0289,HC-0226 dir HC-0289,24,957.11,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0381,HC-0337 dir HC-0381,24,23.65,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0120,HC-0202 dir HC-0120,24,131.03,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0166,HC-0340 dir HC-0166,24,90.89,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0368,HC-0074 dir HC-0368,24,7345.53,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0253,HC-0155 dir HC-0253,24,67.86,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0283,HC-0270 dir HC-0283,24,612.86,74.5,8X MIMO-B,-40.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0253,HC-0266 dir HC-0253,24,57.08,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0042,HC-0407 dir HC-0042,24,848.62,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:24:15,HC-0264,HC-0358 dir HC-0264,24,63.51,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
