event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-06 14:30:36,HC-0096,HC-0010 dir HC-0096,24,616.34,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0259,HC-0267 dir HC-0259,24,47.12,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0293,HC-0399 dir HC-0293,24,64.54,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0375,HC-0361 dir HC-0375,24,96.13,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0417,HC-0128 dir HC-0417,24,44.67,89.8,8X MIMO-B,-55.8,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0114,HC-0115 dir HC-0114,24,5198.1,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0028,HC-0382 dir HC-0028,24,426.54,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0166,HC-0287 dir HC-0166,24,99.86,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0166,HC-0171 dir HC-0166,24,1042.66,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0166,HC-0209 dir HC-0166,24,93.95,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0371,HC-0286 dir HC-0371,24,1606.01,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0371,HC-0303 dir HC-0371,24,15.31,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0371,HC-0282 dir HC-0371,24,42.14,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0076,HC-0054 dir HC-0076,24,1469.28,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0094,HC-0145 dir HC-0094,24,8.06,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0211,HC-0405 dir HC-0211,24,2154.92,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0166,HC-0025 dir HC-0166,24,98.69,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0099,HC-0036 dir HC-0099,24,48.31,88.9,8X MIMO-B,-54.9,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0211,HC-0268 dir HC-0211,24,43.68,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0308,HC-0123 dir HC-0308,24,10.49,95.2,8X MIMO-B,-61.2,FTP/CAMBIUM
2019-11-06 14:30:36,HC-0289,HC-0226 dir HC-0289,24,1307.47,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
