event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-17 22:00:04,HC-0096,HC-0010 dir HC-0096,24,113.43,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0259,HC-0267 dir HC-0259,24,1056.71,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0293,HC-0399 dir HC-0293,24,461.42,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0375,HC-0361 dir HC-0375,24,93.93,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0417,HC-0128 dir HC-0417,24,45.41,87.2,8X MIMO-B,-53.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0114,HC-0115 dir HC-0114,24,1358.15,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0028,HC-0382 dir HC-0028,24,23.67,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0166,HC-0287 dir HC-0166,24,102.43,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0166,HC-0171 dir HC-0166,24,469.46,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0166,HC-0209 dir HC-0166,24,98.04,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0371,HC-0286 dir HC-0371,24,24.71,90.2,8X MIMO-B,-56.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0371,HC-0303 dir HC-0371,24,16.9,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0371,HC-0282 dir HC-0371,24,40.9,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0076,HC-0054 dir HC-0076,24,24.23,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0094,HC-0145 dir HC-0094,24,8.78,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0211,HC-0405 dir HC-0211,24,259.99,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0166,HC-0025 dir HC-0166,24,995.95,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0099,HC-0036 dir HC-0099,24,47,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0211,HC-0268 dir HC-0211,24,1055.19,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0308,HC-0123 dir HC-0308,24,11.18,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0289,HC-0226 dir HC-0289,24,688.85,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0381,HC-0337 dir HC-0381,24,23.61,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0120,HC-0202 dir HC-0120,24,94.4,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0166,HC-0340 dir HC-0166,24,94.13,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0368,HC-0074 dir HC-0368,24,14710.73,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0253,HC-0155 dir HC-0253,24,396.22,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0283,HC-0270 dir HC-0283,24,10.57,74.8,8X MIMO-B,-40.8,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0253,HC-0266 dir HC-0253,24,57.13,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0042,HC-0407 dir HC-0042,24,405.66,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-17 22:00:04,HC-0264,HC-0358 dir HC-0264,24,65.21,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
