event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-12 21:24:57,HC-0096,HC-0010 dir HC-0096,24,960.68,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0259,HC-0267 dir HC-0259,24,1644.98,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0293,HC-0399 dir HC-0293,24,68.17,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0375,HC-0361 dir HC-0375,24,87.09,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0417,HC-0128 dir HC-0417,24,42.05,87.2,8X MIMO-B,-53.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0114,HC-0115 dir HC-0114,24,1093.32,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0028,HC-0382 dir HC-0028,24,1360.57,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0166,HC-0287 dir HC-0166,24,572.04,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0166,HC-0171 dir HC-0166,24,1329.97,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0166,HC-0209 dir HC-0166,24,86.75,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0371,HC-0286 dir HC-0371,24,19.88,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0371,HC-0303 dir HC-0371,24,15.17,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0371,HC-0282 dir HC-0371,24,236.48,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0076,HC-0054 dir HC-0076,24,22.06,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0094,HC-0145 dir HC-0094,24,8.14,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0211,HC-0405 dir HC-0211,24,843.37,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0166,HC-0025 dir HC-0166,24,93.1,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0099,HC-0036 dir HC-0099,24,43.71,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0211,HC-0268 dir HC-0211,24,2400.75,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0308,HC-0123 dir HC-0308,24,9.67,92.5,8X MIMO-B,-58.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0289,HC-0226 dir HC-0289,24,685.01,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0381,HC-0337 dir HC-0381,24,20.94,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0120,HC-0202 dir HC-0120,24,122.77,78.9,8X MIMO-B,-44.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0166,HC-0340 dir HC-0166,24,87.08,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0368,HC-0074 dir HC-0368,24,15179.86,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0253,HC-0155 dir HC-0253,24,1038.85,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0283,HC-0270 dir HC-0283,24,7.07,74.8,8X MIMO-B,-40.8,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0253,HC-0266 dir HC-0253,24,34.66,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0042,HC-0407 dir HC-0042,24,3206.21,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0264,HC-0358 dir HC-0264,24,66.48,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0242,HC-0090 dir HC-0242,24,2274.78,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0210,HC-0184 dir HC-0210,24,89.81,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0242,HC-0110 dir HC-0242,24,1310.14,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0230,HC-0052 dir HC-0230,24,36.77,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0368,HC-0164 dir HC-0368,24,2671.15,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0253,HC-0068 dir HC-0253,24,869.8,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0256,HC-0035 dir HC-0256,24,774.04,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0042,HC-0238 dir HC-0042,24,25.35,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0379,HC-0343 dir HC-0379,24,586.66,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0261,HC-0402 dir HC-0261,24,130.71,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0261,HC-0401 dir HC-0261,24,86.38,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0219,HC-0290 dir HC-0219,24,20.41,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0219,HC-0349 dir HC-0219,24,20.41,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0256,HC-0413 dir HC-0256,24,87.87,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0293,HC-0027 dir HC-0293,24,3252.2,94.2,8X MIMO-B,-60.2,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0096,HC-0255 dir HC-0096,24,2003.65,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0134,HC-0274 dir HC-0134,24,2195.01,103.9,6X MIMO-B,-69.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0386,HC-0100 dir HC-0386,24,94.28,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0346,HC-0317 dir HC-0346,24,98.88,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-11-12 21:24:57,HC-0161,HC-0329 dir HC-0161,24,49.3,86.2,8X MIMO-B,-52.2,FTP/CAMBIUM
