event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-23 17:34:16,HC-0096,HC-0010 dir HC-0096,24,108.98,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0259,HC-0267 dir HC-0259,24,2038.52,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0293,HC-0399 dir HC-0293,24,196.86,78.8,8X MIMO-B,-44.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0375,HC-0361 dir HC-0375,24,96.94,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0417,HC-0128 dir HC-0417,24,35.11,89,8X MIMO-B,-55,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0114,HC-0115 dir HC-0114,24,1720.78,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0028,HC-0382 dir HC-0028,24,192.39,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0166,HC-0287 dir HC-0166,24,101.12,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0166,HC-0171 dir HC-0166,24,97.26,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0166,HC-0209 dir HC-0166,24,90.04,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0371,HC-0286 dir HC-0371,24,481.69,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0371,HC-0303 dir HC-0371,24,15.83,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0371,HC-0282 dir HC-0371,24,616.74,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0076,HC-0054 dir HC-0076,24,24.12,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0094,HC-0145 dir HC-0094,24,9.23,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0211,HC-0405 dir HC-0211,24,62.35,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0166,HC-0025 dir HC-0166,24,90.3,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0099,HC-0036 dir HC-0099,24,40.3,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0211,HC-0268 dir HC-0211,24,940.62,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0308,HC-0123 dir HC-0308,24,427.07,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0289,HC-0226 dir HC-0289,24,407.93,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0381,HC-0337 dir HC-0381,24,59.26,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0120,HC-0202 dir HC-0120,24,130.93,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0166,HC-0340 dir HC-0166,24,91.03,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0368,HC-0074 dir HC-0368,24,6663.93,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0253,HC-0155 dir HC-0253,24,64.39,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0283,HC-0270 dir HC-0283,24,494.43,75.2,8X MIMO-B,-41.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0253,HC-0266 dir HC-0253,24,57.59,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0042,HC-0407 dir HC-0042,24,975.39,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0264,HC-0358 dir HC-0264,24,58.16,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0242,HC-0090 dir HC-0242,24,3000.63,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0210,HC-0184 dir HC-0210,24,94.25,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0242,HC-0110 dir HC-0242,24,2246.63,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0230,HC-0052 dir HC-0230,24,297.04,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0368,HC-0164 dir HC-0368,24,33.08,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0253,HC-0068 dir HC-0253,24,988.49,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0256,HC-0035 dir HC-0256,24,1932.33,86.2,8X MIMO-B,-52.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0042,HC-0238 dir HC-0042,24,754.15,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0379,HC-0343 dir HC-0379,24,606.35,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0261,HC-0402 dir HC-0261,24,209.41,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0261,HC-0401 dir HC-0261,24,84.66,84.2,8X MIMO-B,-50.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0219,HC-0290 dir HC-0219,24,20.79,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0219,HC-0349 dir HC-0219,24,15.63,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0256,HC-0413 dir HC-0256,24,84.59,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0293,HC-0027 dir HC-0293,24,48.33,96.9,8X MIMO-B,-62.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0096,HC-0255 dir HC-0096,24,113.2,80,8X MIMO-B,-46,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0134,HC-0274 dir HC-0134,24,12.36,102.8,6X MIMO-B,-68.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0386,HC-0100 dir HC-0386,24,87.74,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0346,HC-0317 dir HC-0346,24,99.59,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0161,HC-0329 dir HC-0161,24,42.3,86,8X MIMO-B,-52,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0289,HC-0396 dir HC-0289,24,18.58,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0157,HC-0217 dir HC-0157,24,597.3,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0022,HC-0245 dir HC-0022,24,94.4,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0376,HC-0277 dir HC-0376,24,1008.87,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0289,HC-0418 dir HC-0289,24,1547.9,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0418,HC-0414 dir HC-0418,24,1537.43,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-10-23 17:34:16,HC-0140,HC-0139 dir HC-0140,24,38.1,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
