event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-26 18:30:03,HC-0096,HC-0010 dir HC-0096,24,119.56,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0259,HC-0267 dir HC-0259,24,3887.06,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0293,HC-0399 dir HC-0293,24,461.73,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0375,HC-0361 dir HC-0375,24,89.46,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0417,HC-0128 dir HC-0417,24,712.46,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0114,HC-0115 dir HC-0114,24,2291.09,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0028,HC-0382 dir HC-0028,24,1088.07,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0166,HC-0287 dir HC-0166,24,117.11,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0166,HC-0171 dir HC-0166,24,1129.27,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0166,HC-0209 dir HC-0166,24,84.83,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0371,HC-0286 dir HC-0371,24,342.67,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0371,HC-0303 dir HC-0371,24,14.8,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0371,HC-0282 dir HC-0371,24,334.99,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0076,HC-0054 dir HC-0076,24,20.87,87.2,8X MIMO-B,-53.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0094,HC-0145 dir HC-0094,24,7.14,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0211,HC-0405 dir HC-0211,24,647.57,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0166,HC-0025 dir HC-0166,24,86.76,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0099,HC-0036 dir HC-0099,24,133.24,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0211,HC-0268 dir HC-0211,24,1035.94,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0308,HC-0123 dir HC-0308,24,8.66,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0289,HC-0226 dir HC-0289,24,3441.49,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0381,HC-0337 dir HC-0381,24,211.6,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0120,HC-0202 dir HC-0120,24,126.37,79.2,8X MIMO-B,-45.2,FTP/CAMBIUM
2019-11-26 18:30:03,HC-0166,HC-0340 dir HC-0166,24,85.23,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
