event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-19 21:12:42,HC-0096,HC-0010 dir HC-0096,24,99.83,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0259,HC-0267 dir HC-0259,24,1077.55,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0293,HC-0399 dir HC-0293,24,60.8,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0375,HC-0361 dir HC-0375,24,84.21,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0417,HC-0128 dir HC-0417,24,41.82,88.8,8X MIMO-B,-54.8,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0114,HC-0115 dir HC-0114,24,2058.58,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0028,HC-0382 dir HC-0028,24,527.26,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0166,HC-0287 dir HC-0166,24,98.04,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0166,HC-0171 dir HC-0166,24,93.49,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0166,HC-0209 dir HC-0166,24,89,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0371,HC-0286 dir HC-0371,24,759.2,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0371,HC-0303 dir HC-0371,24,17.02,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0371,HC-0282 dir HC-0371,24,39.17,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0076,HC-0054 dir HC-0076,24,20.39,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0094,HC-0145 dir HC-0094,24,8.93,86.2,8X MIMO-B,-52.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0211,HC-0405 dir HC-0211,24,32.8,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0166,HC-0025 dir HC-0166,24,88.52,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0099,HC-0036 dir HC-0099,24,43.25,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-19 21:12:42,HC-0211,HC-0268 dir HC-0211,24,35.52,88,8X MIMO-B,-54,FTP/CAMBIUM
