event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-25 06:23:59,HC-0096,HC-0010 dir HC-0096,24,109.51,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0259,HC-0267 dir HC-0259,24,27.7,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0293,HC-0399 dir HC-0293,24,65.6,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0375,HC-0361 dir HC-0375,24,90.66,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0417,HC-0128 dir HC-0417,24,34.65,89,8X MIMO-B,-55,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0114,HC-0115 dir HC-0114,24,18.44,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0028,HC-0382 dir HC-0028,24,13.32,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0166,HC-0287 dir HC-0166,24,92.34,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0166,HC-0171 dir HC-0166,24,395.62,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0166,HC-0209 dir HC-0166,24,85.61,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0371,HC-0286 dir HC-0371,24,19.04,90.5,8X MIMO-B,-56.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0371,HC-0303 dir HC-0371,24,24.54,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0371,HC-0282 dir HC-0371,24,36.78,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0076,HC-0054 dir HC-0076,24,17.83,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0094,HC-0145 dir HC-0094,24,7.26,92.9,8X MIMO-B,-58.9,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0211,HC-0405 dir HC-0211,24,960.77,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0166,HC-0025 dir HC-0166,24,88.31,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-25 06:23:59,HC-0099,HC-0036 dir HC-0099,24,36.21,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
