event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-19 17:42:49,HC-0096,HC-0010 dir HC-0096,24,118.83,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0259,HC-0267 dir HC-0259,24,33.68,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0293,HC-0399 dir HC-0293,24,69.88,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0375,HC-0361 dir HC-0375,24,91.16,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0417,HC-0128 dir HC-0417,24,42.78,90.8,2X MIMO-B,-56.8,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0114,HC-0115 dir HC-0114,24,1049.44,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0028,HC-0382 dir HC-0028,24,1056.21,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0166,HC-0287 dir HC-0166,24,97.78,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0166,HC-0171 dir HC-0166,24,97.57,81,6X MIMO-B,-47,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0166,HC-0209 dir HC-0166,24,91.26,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0371,HC-0286 dir HC-0371,24,1041.35,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0371,HC-0303 dir HC-0371,24,62.25,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0371,HC-0282 dir HC-0371,24,573.77,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0076,HC-0054 dir HC-0076,24,19.71,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0094,HC-0145 dir HC-0094,24,7.86,92.9,8X MIMO-B,-58.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0211,HC-0405 dir HC-0211,24,39.77,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0166,HC-0025 dir HC-0166,24,93.63,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0099,HC-0036 dir HC-0099,24,46.29,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0211,HC-0268 dir HC-0211,24,2464.76,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0308,HC-0123 dir HC-0308,24,268.6,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0289,HC-0226 dir HC-0289,24,1389.58,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-19 17:42:49,HC-0381,HC-0337 dir HC-0381,24,985.07,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
