event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-02 22:00:57,HC-0096,HC-0010 dir HC-0096,24,110.81,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0259,HC-0267 dir HC-0259,24,32.51,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0293,HC-0399 dir HC-0293,24,61.54,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0375,HC-0361 dir HC-0375,24,93.75,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0417,HC-0128 dir HC-0417,24,38.17,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0114,HC-0115 dir HC-0114,24,2161.6,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0028,HC-0382 dir HC-0028,24,14.36,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0166,HC-0287 dir HC-0166,24,94.3,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0166,HC-0171 dir HC-0166,24,103.04,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0166,HC-0209 dir HC-0166,24,88.1,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0371,HC-0286 dir HC-0371,24,17.79,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0371,HC-0303 dir HC-0371,24,14.09,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0371,HC-0282 dir HC-0371,24,35.64,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0076,HC-0054 dir HC-0076,24,24.61,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0094,HC-0145 dir HC-0094,24,8.17,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0211,HC-0405 dir HC-0211,24,623.54,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0166,HC-0025 dir HC-0166,24,91.73,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0099,HC-0036 dir HC-0099,24,39.66,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0211,HC-0268 dir HC-0211,24,29.28,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0308,HC-0123 dir HC-0308,24,97.03,91.5,8X MIMO-B,-57.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0289,HC-0226 dir HC-0289,24,23.08,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0381,HC-0337 dir HC-0381,24,21.41,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0120,HC-0202 dir HC-0120,24,125.05,78.2,8X MIMO-B,-44.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0166,HC-0340 dir HC-0166,24,93.55,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0368,HC-0074 dir HC-0368,24,12818.8,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0253,HC-0155 dir HC-0253,24,34.12,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0283,HC-0270 dir HC-0283,24,343.11,74.5,8X MIMO-B,-40.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0253,HC-0266 dir HC-0253,24,47.85,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0042,HC-0407 dir HC-0042,24,62.36,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0264,HC-0358 dir HC-0264,24,1105.53,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0242,HC-0090 dir HC-0242,24,32.26,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0210,HC-0184 dir HC-0210,24,91.05,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0242,HC-0110 dir HC-0242,24,663.21,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0230,HC-0052 dir HC-0230,24,501.45,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0368,HC-0164 dir HC-0368,24,49.45,86.8,8X MIMO-B,-52.8,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0253,HC-0068 dir HC-0253,24,59.79,88.2,8X MIMO-B,-54.2,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0256,HC-0035 dir HC-0256,24,82.92,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-02 22:00:57,HC-0042,HC-0238 dir HC-0042,24,45.65,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
