event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-13 17:50:41,HC-0096,HC-0010 dir HC-0096,24,117,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0259,HC-0267 dir HC-0259,24,432.12,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0293,HC-0399 dir HC-0293,24,75.79,78.8,8X MIMO-B,-44.8,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0375,HC-0361 dir HC-0375,24,96.77,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0417,HC-0128 dir HC-0417,24,35.11,90,8X MIMO-B,-56,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0114,HC-0115 dir HC-0114,24,2420.81,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0028,HC-0382 dir HC-0028,24,2072.36,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0166,HC-0287 dir HC-0166,24,100,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0166,HC-0171 dir HC-0166,24,1089.99,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0166,HC-0209 dir HC-0166,24,91.07,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0371,HC-0286 dir HC-0371,24,68.96,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0371,HC-0303 dir HC-0371,24,480.47,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0371,HC-0282 dir HC-0371,24,181.06,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0076,HC-0054 dir HC-0076,24,16.93,87.2,8X MIMO-B,-53.2,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0094,HC-0145 dir HC-0094,24,7.94,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0211,HC-0405 dir HC-0211,24,1134.38,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0166,HC-0025 dir HC-0166,24,462.46,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0099,HC-0036 dir HC-0099,24,32.55,88.2,8X MIMO-B,-54.2,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0211,HC-0268 dir HC-0211,24,523.92,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0308,HC-0123 dir HC-0308,24,9.54,91.9,8X MIMO-B,-57.9,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0289,HC-0226 dir HC-0289,24,96.64,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0381,HC-0337 dir HC-0381,24,19.85,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-13 17:50:41,HC-0120,HC-0202 dir HC-0120,24,105.39,77.9,8X MIMO-B,-43.9,FTP/CAMBIUM
