event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-11-26 19:50:07,HC-0096,HC-0010 dir HC-0096,24,118.69,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0259,HC-0267 dir HC-0259,24,2090.88,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0293,HC-0399 dir HC-0293,24,280.49,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0375,HC-0361 dir HC-0375,24,89.48,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0417,HC-0128 dir HC-0417,24,38.19,89,8X MIMO-B,-55,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0114,HC-0115 dir HC-0114,24,3486.49,77.2,8X MIMO-B,-43.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0028,HC-0382 dir HC-0028,24,46.08,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0166,HC-0287 dir HC-0166,24,117.13,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0166,HC-0171 dir HC-0166,24,90.67,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0166,HC-0209 dir HC-0166,24,84.64,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0371,HC-0286 dir HC-0371,24,1302.89,88.9,8X MIMO-B,-54.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0371,HC-0303 dir HC-0371,24,14.82,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0371,HC-0282 dir HC-0371,24,195.02,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0076,HC-0054 dir HC-0076,24,20.61,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0094,HC-0145 dir HC-0094,24,7.09,89.5,8X MIMO-B,-55.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0211,HC-0405 dir HC-0211,24,1754.19,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0166,HC-0025 dir HC-0166,24,86.83,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0099,HC-0036 dir HC-0099,24,39.59,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0211,HC-0268 dir HC-0211,24,2632.25,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0308,HC-0123 dir HC-0308,24,8.66,90.9,8X MIMO-B,-56.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0289,HC-0226 dir HC-0289,24,3173.63,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0381,HC-0337 dir HC-0381,24,18.83,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0120,HC-0202 dir HC-0120,24,126.05,78.2,8X MIMO-B,-44.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0166,HC-0340 dir HC-0166,24,85.25,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0368,HC-0074 dir HC-0368,24,15879.22,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0253,HC-0155 dir HC-0253,24,1149.95,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0283,HC-0270 dir HC-0283,24,374.45,75.5,8X MIMO-B,-41.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0253,HC-0266 dir HC-0253,24,146.32,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0042,HC-0407 dir HC-0042,24,4150.42,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0264,HC-0358 dir HC-0264,24,735.03,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0242,HC-0090 dir HC-0242,24,3543.3,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0210,HC-0184 dir HC-0210,24,87.81,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0242,HC-0110 dir HC-0242,24,3049.85,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0230,HC-0052 dir HC-0230,24,8.69,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0368,HC-0164 dir HC-0368,24,1312.2,87,8X MIMO-B,-53,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0253,HC-0068 dir HC-0253,24,1820.89,88.2,8X MIMO-B,-54.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0256,HC-0035 dir HC-0256,24,2166.52,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0042,HC-0238 dir HC-0042,24,41.74,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0379,HC-0343 dir HC-0379,24,1135.74,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0261,HC-0402 dir HC-0261,24,1420.38,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0261,HC-0401 dir HC-0261,24,81.58,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0219,HC-0290 dir HC-0219,24,18.81,80.2,8X MIMO-B,-46.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0219,HC-0349 dir HC-0219,24,15.3,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0256,HC-0413 dir HC-0256,24,83.09,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0293,HC-0027 dir HC-0293,24,1137.05,91.5,8X MIMO-B,-57.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0096,HC-0255 dir HC-0096,24,119.34,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0134,HC-0274 dir HC-0134,24,50.01,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0386,HC-0100 dir HC-0386,24,579.94,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0346,HC-0317 dir HC-0346,24,2194.85,83.9,8X MIMO-B,-49.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0161,HC-0329 dir HC-0161,24,44.32,86.2,8X MIMO-B,-52.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0289,HC-0396 dir HC-0289,24,1137.69,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0157,HC-0217 dir HC-0157,24,10.52,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0022,HC-0245 dir HC-0022,24,1141.63,88.2,8X MIMO-B,-54.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0376,HC-0277 dir HC-0376,24,893.24,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0289,HC-0418 dir HC-0289,24,466.85,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0418,HC-0414 dir HC-0418,24,273.92,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-11-26 19:50:07,HC-0140,HC-0139 dir HC-0140,24,30.91,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
