event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-18 13:10:40,HC-0096,HC-0010 dir HC-0096,24,113.13,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0259,HC-0267 dir HC-0259,24,1672.78,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0293,HC-0399 dir HC-0293,24,145.44,79.5,8X MIMO-B,-45.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0375,HC-0361 dir HC-0375,24,114.33,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0417,HC-0128 dir HC-0417,24,46.64,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0114,HC-0115 dir HC-0114,24,1228.89,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0028,HC-0382 dir HC-0028,24,15.44,76.9,8X MIMO-B,-42.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0166,HC-0287 dir HC-0166,24,1280.53,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0166,HC-0171 dir HC-0166,24,306.74,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0166,HC-0209 dir HC-0166,24,112.02,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0371,HC-0286 dir HC-0371,24,914.41,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0371,HC-0303 dir HC-0371,24,17.26,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0371,HC-0282 dir HC-0371,24,39.36,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0076,HC-0054 dir HC-0076,24,410.04,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0094,HC-0145 dir HC-0094,24,17.8,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0211,HC-0405 dir HC-0211,24,2429.14,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0166,HC-0025 dir HC-0166,24,1175.35,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0099,HC-0036 dir HC-0099,24,48.29,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0211,HC-0268 dir HC-0211,24,1433.71,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0308,HC-0123 dir HC-0308,24,11,93.9,8X MIMO-B,-59.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0289,HC-0226 dir HC-0289,24,612.95,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0381,HC-0337 dir HC-0381,24,1121.36,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0120,HC-0202 dir HC-0120,24,139.31,77.9,8X MIMO-B,-43.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0166,HC-0340 dir HC-0166,24,107.89,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0368,HC-0074 dir HC-0368,24,9377.66,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0253,HC-0155 dir HC-0253,24,844.95,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0283,HC-0270 dir HC-0283,24,17.82,76.2,8X MIMO-B,-42.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0253,HC-0266 dir HC-0253,24,59.4,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0042,HC-0407 dir HC-0042,24,3725.83,83.2,8X MIMO-B,-49.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0264,HC-0358 dir HC-0264,24,126,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0242,HC-0090 dir HC-0242,24,2646.92,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0210,HC-0184 dir HC-0210,24,111.2,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0242,HC-0110 dir HC-0242,24,1244.72,88,8X MIMO-B,-54,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0230,HC-0052 dir HC-0230,24,32.08,83,8X MIMO-B,-49,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0368,HC-0164 dir HC-0368,24,1707.23,87.8,8X MIMO-B,-53.8,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0253,HC-0068 dir HC-0253,24,1052.79,90.2,8X MIMO-B,-56.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0256,HC-0035 dir HC-0256,24,1182.27,86.2,8X MIMO-B,-52.2,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0042,HC-0238 dir HC-0042,24,1438.84,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-18 13:10:40,HC-0379,HC-0343 dir HC-0379,24,206.58,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
