event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1615,HC-0285,HC-0259 dir HC-0285,27,2104961103,4,-47,SNMP/SIAE
28-11-2019 1615,HC-0259,HC-0285 dir HC-0259,27,1299456373,4,-45,SNMP/SIAE
28-11-2019 1615,HC-0104,HC-0259 dir HC-0104,27,3185933836,4,-59,SNMP/SIAE
28-11-2019 1615,HC-0259,HC-0104 dir HC-0259,27,3206545806,4,-60,SNMP/SIAE
28-11-2019 1615,HC-0108,HC-0259 dir HC-0108,23,1588703383,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0259,HC-0108 dir HC-0259,23,726632488,10,-48,SNMP/SIAE
28-11-2019 1615,HC-0055,HC-0108 dir HC-0055,24,2913046023,7,-49,SNMP/SIAE
28-11-2019 1615,HC-0108,HC-0055 dir HC-0108,24,2929509531,7,-48,SNMP/SIAE
28-11-2019 1615,HC-0082,HC-0228 DIR HC-0082,23,1128862389,10,-50,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0082 DIR HC-0228,23,1836514632,10,-50,SNMP/SIAE
28-11-2019 1615,HC-0205,HC-0082 DIR HC-0205,19,3178158248,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0082,HC-0205 DIR HC-0082,19,1047676571,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0131,HC-0205 DIR HC-0131,19,953978828,10,-39,SNMP/SIAE
28-11-2019 1615,HC-0205,HC-0131 DIR HC-0205,19,1584234826,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0326,HC-0082 dir HC-0326,23,1256598961,4,-38,SNMP/SIAE
28-11-2019 1615,HC-0082,HC-0326 dir HC-0082,23,2046759509,4,-38,SNMP/SIAE
28-11-2019 1615,HC-0291,HC-0228 DIR HC-0291,23,1563600766,22,-41,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0291 DIR HC-0228,23,3737318158,22,-41,SNMP/SIAE
28-11-2019 1615,HC-0347,HC-0291 DIR HC-0347,23,1191220194,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0291,HC-0347 DIR HC-0291,23,3638774881,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0222,HC-0347 DIR HC-0222,23,348897395,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0347,HC-0222 DIR HC-0347,23,3017005958,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0356,HC-0228 DIR HC-0356,23,4290987673,4,-46,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0356 DIR HC-0228,,1315587145,4,,SNMP/SIAE
28-11-2019 1615,HC-0214,HC-0228 DIR HC-0214,19,1839680831,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0214 DIR HC-0228,19,651450857,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0075,HC-0228 DIR HC-0075,14,1087071871,22,-40,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0075 DIR HC-0228,14,573847184,22,-41,SNMP/SIAE
28-11-2019 1615,HC-0142,HC-0228 DIR HC-0142,19,620008060,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0142 DIR HC-0228,19,3849329387,10,-39,SNMP/SIAE
28-11-2019 1615,HC-0120,HC-0228 DIR HC-0120,18,3266011513,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0228,HC-0120 DIR HC-0228,18,4096753891,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0118,HC-0142 DIR HC-0118,19,1209763010,10,-43,SNMP/SIAE
28-11-2019 1615,HC-0142,HC-0118 DIR HC-0142,19,630444258,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0246,HC-0075 DIR HC-0246,23,3112697613,10,-47,SNMP/SIAE
28-11-2019 1615,HC-0075,HC-0246 DIR HC-0075,23,144848362,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0298,HC-0075 DIR HC-0298,24,1954482212,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0075,HC-0298 DIR HC-0075,24,1993176898,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0389,HC-0246 DIR HC-0389,19,3439584425,10,-44,SNMP/SIAE
28-11-2019 1615,HC-0246,HC-0389 DIR HC-0246,19,2810733742,10,-44,SNMP/SIAE
28-11-2019 1615,HC-0072,HC-0120 DIR HC-0072,23,2974424863,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0120,HC-0072 DIR HC-0120,23,1319808616,10,-47,SNMP/SIAE
28-11-2019 1615,HC-0294,HC-0120 DIR HC-0294,23,788476747,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0120,HC-0294 DIR HC-0120,23,587792165,4,-42,SNMP/SIAE
28-11-2019 1615,HC-0111,HC-0120 DIR HC-0111,23,3399196390,22,-41,SNMP/SIAE
28-11-2019 1615,HC-0120,HC-0111 DIR HC-0120,23,3469959997,22,-40,SNMP/SIAE
28-11-2019 1615,HC-0240,HC-0111 DIR HC-0240,24,2158107139,7,-48,SNMP/SIAE
28-11-2019 1615,HC-0111,HC-0240 DIR HC-0111,24,1028003604,7,-48,SNMP/SIAE
28-11-2019 1615,HC-0020,HC-0016 DIR HC-0020,24,2143736652,7,-46,SNMP/SIAE
28-11-2019 1615,HC-0016,HC-0020 DIR HC-0016,24,2509782358,7,-48,SNMP/SIAE
28-11-2019 1615,HC-0059,HC-0020 DIR HC-0059,23,817629595,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0020,HC-0059 DIR HC-0020,23,2318584243,10,-45,SNMP/SIAE
28-11-2019 1615,HC-0379,HC-0058 dir HC-0379,19,1491375522,22,-39,SNMP/SIAE
28-11-2019 1615,HC-0058,HC-0379 dir HC-0058,19,4113449421,22,-40,SNMP/SIAE
28-11-2019 1615,HC-0350,HC-0379 DIR HC-0350,17,2518087921,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0379,HC-0350 DIR HC-0379,17,3265338129,22,-37,SNMP/SIAE
28-11-2019 1615,HC-0140,HC-0350 dir HC-0140,23,3399233108,22,-38,SNMP/SIAE
28-11-2019 1615,HC-0350,HC-0140 dir HC-0350,23,450433770,22,-38,SNMP/SIAE
28-11-2019 1615,HC-0278,HC-0140 DIR HC-0278,19,2365156034,10,-38,SNMP/SIAE
28-11-2019 1615,HC-0140,HC-0278 DIR HC-0140,19,3505379816,10,-38,SNMP/SIAE
28-11-2019 1615,HC-0084,HC-0140 DIR HC-0084,23,957473350,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0140,HC-0084 DIR HC-0140,23,1893068025,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0167,HC-0137 DIR HC-0167,23,2501223245,10,-48,SNMP/SIAE
28-11-2019 1615,HC-0137,HC-0167 DIR HC-0137,23,1128823215,10,-48,SNMP/SIAE
28-11-2019 1615,HC-0220,HC-0167 DIR HC-0220,23,1916204953,4,-39,SNMP/SIAE
28-11-2019 1615,HC-0167,HC-0220 DIR HC-0167,23,3316292481,4,-38,SNMP/SIAE
28-11-2019 1615,HC-0376,HC-0137 DIR HC-0376,23,4235169674,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0137,HC-0376 DIR HC-0137,23,4292989175,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0237,HC-0376 DIR HC-0237,19,1272345078,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0376,HC-0237 DIR HC-0376,19,4049466049,10,-35,SNMP/SIAE
28-11-2019 1615,HC-0022,HC-0376 DIR HC-0022,23,2628629049,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0376,HC-0022 DIR HC-0376,23,3497530719,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0386,HC-0376 DIR HC-0386,23,651947975,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0376,HC-0386 DIR HC-0376,23,1987204668,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0149,HC-0022 DIR HC-0149,19,1385523127,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0022,HC-0149 DIR HC-0022,19,833461577,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0081,HC-0137 DIR HC-0081,19,3968068988,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0137,HC-0081 DIR HC-0137,19,3685408359,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0221,HC-0081 DIR HC-0221,23,2431123285,4,-45,SNMP/SIAE
28-11-2019 1615,HC-0081,HC-0221 DIR HC-0081,23,351031845,4,-45,SNMP/SIAE
28-11-2019 1615,HC-0060,HC-0376 DIR HC-0060,24,1418929351,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0376,HC-0060 dir HC-0376,24,3453738216,7,-52,SNMP/SIAE
28-11-2019 1615,HC-0334,HC-0386 DIR HC-0334,15,196504486,10,-33,SNMP/SIAE
28-11-2019 1615,HC-0386,HC-0334 DIR HC-0386,15,2427238753,10,-34,SNMP/SIAE
28-11-2019 1615,HC-0091,HC-0386 DIR HC-0091,23,3804691623,4,-42,SNMP/SIAE
28-11-2019 1615,HC-0386,HC-0091 DIR HC-0386,23,730465823,4,-42,SNMP/SIAE
28-11-2019 1615,HC-0076,HC-0119 DIR HC-0076,23,167369960,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0119,HC-0076 DIR HC-0119,23,3679621734,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0144,HC-0119 DIR HC-0144,24,1022999526,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0119,HC-0144 DIR HC-0119,24,559531619,7,-52,SNMP/SIAE
28-11-2019 1615,HC-0124,HC-0144 DIR HC-0124,24,1027882446,7,-44,SNMP/SIAE
28-11-2019 1615,HC-0144,HC-0124 DIR HC-0144,24,4224432427,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0335,HC-0076 DIR HC-0335,24,62253601,7,-47,SNMP/SIAE
28-11-2019 1615,HC-0076,HC-0335 DIR HC-0076,24,1208923570,7,-47,SNMP/SIAE
28-11-2019 1615,HC-0247,HC-0119 DIR HC-0247,27,3739036723,4,-53,SNMP/SIAE
28-11-2019 1615,HC-0119,HC-0247 DIR HC-0119,27,4021569396,4,-51,SNMP/SIAE
28-11-2019 1615,HC-0105,HC-0099 DIR HC-0105,27,3654974905,4,-54,SNMP/SIAE
28-11-2019 1615,HC-0099,HC-0105 DIR HC-0099,27,2767285535,4,-54,SNMP/SIAE
28-11-2019 1615,HC-0161,HC-0099 DIR HC-0161,23,90187626,10,-51,SNMP/SIAE
28-11-2019 1615,HC-0099,HC-0161 DIR HC-0099,23,3161060669,10,-52,SNMP/SIAE
28-11-2019 1615,HC-0122,HC-0099 DIR HC-0122,19,3738402659,10,-36,SNMP/SIAE
28-11-2019 1615,HC-0099,HC-0122 dir HC-0099,19,3516600739,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0169,HC-0161 DIR HC-0169,23,4163794154,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0161,HC-0169 DIR HC-0161,23,3851634034,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0368,HC-0122 dir HC-0368,19,1466396111,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0122,HC-0368 dir HC-0122,19,116516207,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0417,HC-0099 DIR HC-0417,24,3398588788,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0099,HC-0417 DIR HC-0099,24,2661355427,7,-50,SNMP/SIAE
28-11-2019 1615,HC-0053,HC-0417 dir HC-0053,27,1081765345,4,-44,SNMP/SIAE
28-11-2019 1615,HC-0417,HC-0053 DIR HC-0417,27,3326341308,4,-44,SNMP/SIAE
28-11-2019 1615,HC-0157,HC-0024 DIR HC-0157,19,2992819027,10,-39,SNMP/SIAE
28-11-2019 1615,HC-0024,HC-0157 DIR HC-0024,19,1570119436,10,-39,SNMP/SIAE
28-11-2019 1615,HC-0026,HC-0293 dir HC-0026,23,3147359548,10,-46,SNMP/SIAE
28-11-2019 1615,HC-0293,HC-0026 dir HC-0293,23,2145346772,10,-47,SNMP/SIAE
28-11-2019 1615,HC-0300,HC-0293 DIR HC-0300,19,89280892,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0293,HC-0300 DIR HC-0293,19,2918163057,10,-38,SNMP/SIAE
28-11-2019 1615,HC-0208,HC-0026 DIR HC-0208,19,9025609,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0026,HC-0208 DIR HC-0026,19,1012237242,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0093,HC-0026 DIR HC-0093,23,2923638447,10,-48,SNMP/SIAE
28-11-2019 1615,HC-0026,HC-0093 DIR HC-0026,23,3193869920,10,-48,SNMP/SIAE
28-11-2019 1615,HC-0342,HC-0093 dir HC-0342,24,2626467176,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0093,HC-0342 dir HC-0093,24,2288966339,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0211,HC-0078 DIR HC-0211,19,1618338908,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0078,HC-0211 DIR HC-0078,19,1141128722,10,-43,SNMP/SIAE
28-11-2019 1615,HC-0381,HC-0229 DIR HC-0381,19,1811855418,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0229,HC-0381 DIR HC-0229,19,3955780652,10,-43,SNMP/SIAE
28-11-2019 1615,HC-0190,HC-0381 dir HC-0190,23,3927306719,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0381,HC-0190 DIR HC-0381,23,3547411304,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0410,HC-0229 DIR HC-0410,23,3671476681,10,-43,SNMP/SIAE
28-11-2019 1615,HC-0229,HC-0410 DIR HC-0229,23,458835283,10,-41,SNMP/SIAE
28-11-2019 1615,HC-0380,HC-0174 dir HC-0380,19,3940517184,10,-36,SNMP/SIAE
28-11-2019 1615,HC-0174,HC-0380 DIR HC-0174,19,9862202,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0297,HC-0380 DIR HC-0297,19,1391712264,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0380,HC-0297 DIR HC-0380,19,2086281285,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0096 dir HC-0373,23,1373042138,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0096,HC-0373 dir HC-0096,23,2264071292,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0374,HC-0096 DIR HC-0374,21,1366499067,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0096,HC-0374 DIR HC-0096,21,2703171671,22,-34,SNMP/SIAE
28-11-2019 1615,HC-0051,HC-0373 DIR HC-0051,27,3955297221,4,-50,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0051 DIR HC-0373,27,3274938520,4,-49,SNMP/SIAE
28-11-2019 1615,HC-0034,HC-0373 dir HC-0034,27,1363930518,4,-51,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0034 dir HC-0373,27,3957271083,4,-51,SNMP/SIAE
28-11-2019 1615,HC-0385,HC-0374 dir HC-0385,21,4283896646,22,-36,SNMP/SIAE
28-11-2019 1615,HC-0374,HC-0385 dir HC-0374,21,2227120400,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0048,HC-0385 DIR HC-0048,19,26218534,10,-36,SNMP/SIAE
28-11-2019 1615,HC-0385,HC-0048 DIR HC-0385,19,3897857730,10,-36,SNMP/SIAE
28-11-2019 1615,HC-0330,HC-0373 DIR HC-0330,24,4174838911,7,-48,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0330 DIR HC-0373,24,2970398377,7,-47,SNMP/SIAE
28-11-2019 1615,HC-0336,HC-0374 dir HC-0336,24,241826112,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0374,HC-0336 dir HC-0374,24,759847601,7,-50,SNMP/SIAE
28-11-2019 1615,HC-0005,HC-0374 DIR HC-0005,23,645012449,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0374,HC-0005 DIR HC-0374,23,4086566991,10,-43,SNMP/SIAE
28-11-2019 1615,HC-0173,HC-0373 dir HC-0173,27,1245824329,4,-45,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0173 dir HC-0373,27,4010357546,4,-46,SNMP/SIAE
28-11-2019 1615,HC-0357,HC-0373 dir HC-0357,23,1379502522,4,-43,SNMP/SIAE
28-11-2019 1615,HC-0373,HC-0357 dir HC-0373,23,4197494739,4,-43,SNMP/SIAE
28-11-2019 1615,HC-0412,HC-0096 DIR HC-0412,27,2977321306,4,-43,SNMP/SIAE
28-11-2019 1615,HC-0096,HC-0412 DIR HC-0096,27,3014507679,4,-44,SNMP/SIAE
28-11-2019 1615,HC-0077,HC-0005 DIR HC-0077,19,1061490671,10,-40,SNMP/SIAE
28-11-2019 1615,HC-0005,HC-0077 DIR HC-0005,19,2132970810,10,-42,SNMP/SIAE
28-11-2019 1615,HC-0132,HC-0077 dir HC-0132,24,164648011,7,-44,SNMP/SIAE
28-11-2019 1615,HC-0077,HC-0132 dir HC-0077,24,3774530199,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0328,HC-0132 DIR HC-0328,23,1444229016,4,-40,SNMP/SIAE
28-11-2019 1615,HC-0132,HC-0328 DIR HC-0132,23,219809150,4,-41,SNMP/SIAE
28-11-2019 1615,HC-0404,HC-0330 DIR HC-0404,27,14806346,4,-43,SNMP/SIAE
28-11-2019 1615,HC-0330,HC-0404 DIR HC-0330,27,3038790420,4,-44,SNMP/SIAE
28-11-2019 1615,HC-0370,HC-0196 DIR HC-0370,17,2941044458,10,-34,SNMP/SIAE
28-11-2019 1615,HC-0196,HC-0370 DIR HC-0196,17,2886564311,10,-35,SNMP/SIAE
28-11-2019 1615,HC-0375,HC-0367 DIR HC-0375,22,2900686807,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0367,HC-0375 dir HC-0367,22,1607692337,22,-35,SNMP/SIAE
28-11-2019 1615,HC-0166,HC-0375 dir HC-0166,19,600013702,22,-37,SNMP/SIAE
28-11-2019 1615,HC-0375,HC-0166 DIR HC-0375,19,3695603464,22,-37,SNMP/SIAE
28-11-2019 1615,HC-0002,HC-0166 dir HC-0002,19,804392083,10,-38,SNMP/SIAE
28-11-2019 1615,HC-0166,HC-0002 dir HC-0166,19,2107300000,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0156,HC-0166 DIR HC-0156,24,171293925,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0166,HC-0156 DIR HC-0166,24,15620018,7,-45,SNMP/SIAE
28-11-2019 1615,HC-0241,HC-0166 DIR HC-0241,24,345055399,7,-50,SNMP/SIAE
28-11-2019 1615,HC-0166,HC-0241 DIR HC-0166,24,1754614361,7,-51,SNMP/SIAE
28-11-2019 1615,HC-0192,HC-0156 DIR HC-0192,23,2047639435,4,-58,SNMP/SIAE
28-11-2019 1615,HC-0156,HC-0192 DIR HC-0156,23,1869097286,4,-53,SNMP/SIAE
28-11-2019 1615,HC-0165,HC-0241 DIR HC-0165,19,3131218961,10,-38,SNMP/SIAE
28-11-2019 1615,HC-0241,HC-0165 DIR HC-0241,19,2146544806,10,-37,SNMP/SIAE
28-11-2019 1615,HC-0388,HC-0375 DIR HC-0388,27,50022434,4,-46,SNMP/SIAE
28-11-2019 1615,HC-0375,HC-0388 DIR HC-0375,27,1524788979,4,-47,SNMP/SIAE
