event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1630,HC-0285,HC-0259 dir HC-0285,27,2125540487,4,-49,SNMP/SIAE
28-11-2019 1630,HC-0259,HC-0285 dir HC-0259,27,1478770762,4,-47,SNMP/SIAE
28-11-2019 1630,HC-0104,HC-0259 dir HC-0104,27,3192625267,4,-55,SNMP/SIAE
28-11-2019 1630,HC-0259,HC-0104 dir HC-0259,27,3210746334,4,-56,SNMP/SIAE
28-11-2019 1630,HC-0108,HC-0259 dir HC-0108,23,1628887058,10,-47,SNMP/SIAE
28-11-2019 1630,HC-0259,HC-0108 dir HC-0259,23,1298060373,10,-49,SNMP/SIAE
28-11-2019 1630,HC-0055,HC-0108 dir HC-0055,24,2936534850,7,-49,SNMP/SIAE
28-11-2019 1630,HC-0108,HC-0055 dir HC-0108,24,3249803833,7,-48,SNMP/SIAE
28-11-2019 1630,HC-0082,HC-0228 DIR HC-0082,23,1296033132,10,-49,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0082 DIR HC-0228,23,2160227193,10,-48,SNMP/SIAE
28-11-2019 1630,HC-0205,HC-0082 DIR HC-0205,19,3313857273,10,-41,SNMP/SIAE
28-11-2019 1630,HC-0082,HC-0205 DIR HC-0082,19,1088423683,10,-40,SNMP/SIAE
28-11-2019 1630,HC-0131,HC-0205 DIR HC-0131,19,1087152775,10,-38,SNMP/SIAE
28-11-2019 1630,HC-0205,HC-0131 DIR HC-0205,19,1623988167,10,-39,SNMP/SIAE
28-11-2019 1630,HC-0326,HC-0082 dir HC-0326,23,1284821118,4,-37,SNMP/SIAE
28-11-2019 1630,HC-0082,HC-0326 dir HC-0082,23,2342785664,4,-37,SNMP/SIAE
28-11-2019 1630,HC-0291,HC-0228 DIR HC-0291,23,1889793944,22,-40,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0291 DIR HC-0228,23,710388053,22,-40,SNMP/SIAE
28-11-2019 1630,HC-0347,HC-0291 DIR HC-0347,23,1496407263,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0291,HC-0347 DIR HC-0291,23,322798752,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0222,HC-0347 DIR HC-0222,23,392156453,10,-41,SNMP/SIAE
28-11-2019 1630,HC-0347,HC-0222 DIR HC-0347,23,3559783425,10,-40,SNMP/SIAE
28-11-2019 1630,HC-0356,HC-0228 DIR HC-0356,23,135596713,4,-43,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0356 DIR HC-0228,,1458278717,4,,SNMP/SIAE
28-11-2019 1630,HC-0214,HC-0228 DIR HC-0214,19,1841171418,10,-43,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0214 DIR HC-0228,19,675876139,10,-43,SNMP/SIAE
28-11-2019 1630,HC-0075,HC-0228 DIR HC-0075,14,1532846454,22,-39,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0075 DIR HC-0228,14,858752710,22,-39,SNMP/SIAE
28-11-2019 1630,HC-0142,HC-0228 DIR HC-0142,19,622237860,10,-35,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0142 DIR HC-0228,19,3864778093,10,-37,SNMP/SIAE
28-11-2019 1630,HC-0120,HC-0228 DIR HC-0120,18,3535229611,22,-35,SNMP/SIAE
28-11-2019 1630,HC-0228,HC-0120 DIR HC-0228,18,159241860,22,-35,SNMP/SIAE
28-11-2019 1630,HC-0118,HC-0142 DIR HC-0118,19,1210846338,10,-41,SNMP/SIAE
28-11-2019 1630,HC-0142,HC-0118 DIR HC-0142,19,645452205,10,-38,SNMP/SIAE
28-11-2019 1630,HC-0246,HC-0075 DIR HC-0246,23,3290767830,10,-44,SNMP/SIAE
28-11-2019 1630,HC-0075,HC-0246 DIR HC-0075,23,192754178,10,-44,SNMP/SIAE
28-11-2019 1630,HC-0298,HC-0075 DIR HC-0298,24,2221588257,7,-51,SNMP/SIAE
28-11-2019 1630,HC-0075,HC-0298 DIR HC-0075,24,2244619733,7,-51,SNMP/SIAE
28-11-2019 1630,HC-0389,HC-0246 DIR HC-0389,19,3614579842,10,-42,SNMP/SIAE
28-11-2019 1630,HC-0246,HC-0389 DIR HC-0246,19,2857597551,10,-43,SNMP/SIAE
28-11-2019 1630,HC-0072,HC-0120 DIR HC-0072,23,2980922499,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0120,HC-0072 DIR HC-0120,23,1394451115,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0294,HC-0120 DIR HC-0294,23,789023149,4,-39,SNMP/SIAE
28-11-2019 1630,HC-0120,HC-0294 DIR HC-0120,23,602596018,4,-39,SNMP/SIAE
28-11-2019 1630,HC-0111,HC-0120 DIR HC-0111,23,3657642305,22,-39,SNMP/SIAE
28-11-2019 1630,HC-0120,HC-0111 DIR HC-0120,23,3754714649,22,-39,SNMP/SIAE
28-11-2019 1630,HC-0240,HC-0111 DIR HC-0240,24,2396866682,7,-49,SNMP/SIAE
28-11-2019 1630,HC-0111,HC-0240 DIR HC-0111,24,1134620198,7,-48,SNMP/SIAE
28-11-2019 1630,HC-0020,HC-0016 DIR HC-0020,24,2270797125,7,-45,SNMP/SIAE
28-11-2019 1630,HC-0016,HC-0020 DIR HC-0016,24,3224090056,7,-47,SNMP/SIAE
28-11-2019 1630,HC-0059,HC-0020 DIR HC-0059,23,866107909,10,-45,SNMP/SIAE
28-11-2019 1630,HC-0020,HC-0059 DIR HC-0020,23,2707060409,10,-45,SNMP/SIAE
28-11-2019 1630,HC-0379,HC-0058 dir HC-0379,19,1753516144,22,-39,SNMP/SIAE
28-11-2019 1630,HC-0058,HC-0379 dir HC-0058,19,1885715687,22,-40,SNMP/SIAE
28-11-2019 1630,HC-0350,HC-0379 DIR HC-0350,17,2770966325,22,-36,SNMP/SIAE
28-11-2019 1630,HC-0379,HC-0350 DIR HC-0379,17,1007938867,22,-37,SNMP/SIAE
28-11-2019 1630,HC-0140,HC-0350 dir HC-0140,23,3644922052,22,-38,SNMP/SIAE
28-11-2019 1630,HC-0350,HC-0140 dir HC-0350,23,2405252991,22,-38,SNMP/SIAE
28-11-2019 1630,HC-0278,HC-0140 DIR HC-0278,19,2376261689,10,-39,SNMP/SIAE
28-11-2019 1630,HC-0140,HC-0278 DIR HC-0140,19,3621903963,10,-39,SNMP/SIAE
28-11-2019 1630,HC-0084,HC-0140 DIR HC-0084,23,958585817,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0140,HC-0084 DIR HC-0140,23,1896780569,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0167,HC-0137 DIR HC-0167,23,2521960996,10,-48,SNMP/SIAE
28-11-2019 1630,HC-0137,HC-0167 DIR HC-0137,23,1266638865,10,-48,SNMP/SIAE
28-11-2019 1630,HC-0220,HC-0167 DIR HC-0220,23,1923938516,4,-39,SNMP/SIAE
28-11-2019 1630,HC-0167,HC-0220 DIR HC-0167,23,3375106270,4,-38,SNMP/SIAE
28-11-2019 1630,HC-0376,HC-0137 DIR HC-0376,23,125596140,22,-35,SNMP/SIAE
28-11-2019 1630,HC-0137,HC-0376 DIR HC-0137,23,696904324,22,-35,SNMP/SIAE
28-11-2019 1630,HC-0237,HC-0376 DIR HC-0237,19,1378208501,10,-37,SNMP/SIAE
28-11-2019 1630,HC-0376,HC-0237 DIR HC-0376,19,4063595140,10,-35,SNMP/SIAE
28-11-2019 1630,HC-0022,HC-0376 DIR HC-0022,23,2654347869,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0376,HC-0022 DIR HC-0376,23,3668546316,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0386,HC-0376 DIR HC-0386,23,695505370,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0376,HC-0386 DIR HC-0376,23,2470964646,10,-46,SNMP/SIAE
28-11-2019 1630,HC-0149,HC-0022 DIR HC-0149,19,1386672676,10,-37,SNMP/SIAE
28-11-2019 1630,HC-0022,HC-0149 DIR HC-0022,19,844158617,10,-37,SNMP/SIAE
28-11-2019 1630,HC-0081,HC-0137 DIR HC-0081,19,3987371226,10,-42,SNMP/SIAE
28-11-2019 1630,HC-0137,HC-0081 DIR HC-0137,19,3985480615,10,-42,SNMP/SIAE
28-11-2019 1630,HC-0221,HC-0081 DIR HC-0221,23,2436034847,4,-44,SNMP/SIAE
28-11-2019 1630,HC-0081,HC-0221 DIR HC-0081,23,512421112,4,-45,SNMP/SIAE
28-11-2019 1630,HC-0060,HC-0376 DIR HC-0060,24,1423671152,7,-51,SNMP/SIAE
