event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1445,HC-0285,HC-0259 dir HC-0285,27,1901681040,4,-47,SNMP/SIAE
28-11-2019 1445,HC-0259,HC-0285 dir HC-0259,27,3667033711,4,-45,SNMP/SIAE
28-11-2019 1445,HC-0104,HC-0259 dir HC-0104,27,3146047710,4,-54,SNMP/SIAE
28-11-2019 1445,HC-0259,HC-0104 dir HC-0259,27,3182148066,4,-54,SNMP/SIAE
28-11-2019 1445,HC-0108,HC-0259 dir HC-0108,23,1347372842,10,-45,SNMP/SIAE
28-11-2019 1445,HC-0259,HC-0108 dir HC-0259,23,1889392617,10,-47,SNMP/SIAE
28-11-2019 1445,HC-0055,HC-0108 dir HC-0055,24,2768467621,7,-47,SNMP/SIAE
28-11-2019 1445,HC-0108,HC-0055 dir HC-0108,24,1103683928,7,-47,SNMP/SIAE
28-11-2019 1445,HC-0082,HC-0228 DIR HC-0082,23,2568538,10,-48,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0082 DIR HC-0228,23,2832462083,10,-48,SNMP/SIAE
28-11-2019 1445,HC-0205,HC-0082 DIR HC-0205,19,2213608560,10,-40,SNMP/SIAE
28-11-2019 1445,HC-0082,HC-0205 DIR HC-0082,19,3835137575,10,-39,SNMP/SIAE
28-11-2019 1445,HC-0131,HC-0205 DIR HC-0131,19,18643092,10,-38,SNMP/SIAE
28-11-2019 1445,HC-0205,HC-0131 DIR HC-0205,19,94523773,10,-39,SNMP/SIAE
28-11-2019 1445,HC-0326,HC-0082 dir HC-0326,23,1111143347,4,-37,SNMP/SIAE
28-11-2019 1445,HC-0082,HC-0326 dir HC-0082,23,219288836,4,-37,SNMP/SIAE
28-11-2019 1445,HC-0291,HC-0228 DIR HC-0291,23,3891521108,22,-38,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0291 DIR HC-0228,23,2425920073,22,-38,SNMP/SIAE
28-11-2019 1445,HC-0347,HC-0291 DIR HC-0347,23,3646686876,10,-44,SNMP/SIAE
28-11-2019 1445,HC-0291,HC-0347 DIR HC-0291,23,3600900825,10,-44,SNMP/SIAE
28-11-2019 1445,HC-0222,HC-0347 DIR HC-0222,23,154439029,10,-40,SNMP/SIAE
28-11-2019 1445,HC-0347,HC-0222 DIR HC-0347,23,623077077,10,-41,SNMP/SIAE
28-11-2019 1445,HC-0356,HC-0228 DIR HC-0356,23,3477707743,4,-42,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0356 DIR HC-0228,,627958662,4,,SNMP/SIAE
28-11-2019 1445,HC-0214,HC-0228 DIR HC-0214,19,1826567883,10,-42,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0214 DIR HC-0228,19,525142295,10,-42,SNMP/SIAE
28-11-2019 1445,HC-0075,HC-0228 DIR HC-0075,14,3143858987,22,-34,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0075 DIR HC-0228,14,805839608,22,-34,SNMP/SIAE
28-11-2019 1445,HC-0142,HC-0228 DIR HC-0142,19,593915240,10,-33,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0142 DIR HC-0228,19,3752528136,10,-36,SNMP/SIAE
28-11-2019 1445,HC-0120,HC-0228 DIR HC-0120,18,1509053166,22,-33,SNMP/SIAE
28-11-2019 1445,HC-0228,HC-0120 DIR HC-0228,18,2069191702,22,-34,SNMP/SIAE
28-11-2019 1445,HC-0118,HC-0142 DIR HC-0118,19,1196274309,10,-39,SNMP/SIAE
28-11-2019 1445,HC-0142,HC-0118 DIR HC-0142,19,536434203,10,-37,SNMP/SIAE
28-11-2019 1445,HC-0246,HC-0075 DIR HC-0246,23,2593954936,10,-44,SNMP/SIAE
28-11-2019 1445,HC-0075,HC-0246 DIR HC-0075,23,1884187966,10,-43,SNMP/SIAE
28-11-2019 1445,HC-0298,HC-0075 DIR HC-0298,24,254125303,7,-50,SNMP/SIAE
28-11-2019 1445,HC-0075,HC-0298 DIR HC-0075,24,395811906,7,-50,SNMP/SIAE
