event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1515,HC-0285,HC-0259 dir HC-0285,27,1959314909,4,-47,SNMP/SIAE
28-11-2019 1515,HC-0259,HC-0285 dir HC-0259,27,36144771,4,-45,SNMP/SIAE
28-11-2019 1515,HC-0104,HC-0259 dir HC-0104,27,3159137161,4,-54,SNMP/SIAE
28-11-2019 1515,HC-0259,HC-0104 dir HC-0259,27,3190098547,4,-54,SNMP/SIAE
28-11-2019 1515,HC-0108,HC-0259 dir HC-0108,23,1441746402,10,-45,SNMP/SIAE
28-11-2019 1515,HC-0259,HC-0108 dir HC-0259,23,2888056031,10,-47,SNMP/SIAE
28-11-2019 1515,HC-0055,HC-0108 dir HC-0055,24,2831887936,7,-47,SNMP/SIAE
28-11-2019 1515,HC-0108,HC-0055 dir HC-0108,24,1702822391,7,-47,SNMP/SIAE
28-11-2019 1515,HC-0082,HC-0228 DIR HC-0082,23,390044877,10,-48,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0082 DIR HC-0228,23,4142884416,10,-48,SNMP/SIAE
28-11-2019 1515,HC-0205,HC-0082 DIR HC-0205,19,2547311363,10,-40,SNMP/SIAE
28-11-2019 1515,HC-0082,HC-0205 DIR HC-0082,19,237359674,10,-39,SNMP/SIAE
28-11-2019 1515,HC-0131,HC-0205 DIR HC-0131,19,347165437,10,-37,SNMP/SIAE
28-11-2019 1515,HC-0205,HC-0131 DIR HC-0205,19,789781747,10,-39,SNMP/SIAE
28-11-2019 1515,HC-0326,HC-0082 dir HC-0326,23,1162330064,4,-37,SNMP/SIAE
28-11-2019 1515,HC-0082,HC-0326 dir HC-0082,23,862213913,4,-37,SNMP/SIAE
28-11-2019 1515,HC-0291,HC-0228 DIR HC-0291,23,234199648,22,-38,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0291 DIR HC-0228,23,4079559597,22,-38,SNMP/SIAE
28-11-2019 1515,HC-0347,HC-0291 DIR HC-0347,23,4241535447,10,-44,SNMP/SIAE
28-11-2019 1515,HC-0291,HC-0347 DIR HC-0291,23,608752166,10,-44,SNMP/SIAE
28-11-2019 1515,HC-0222,HC-0347 DIR HC-0222,23,205532961,10,-41,SNMP/SIAE
28-11-2019 1515,HC-0347,HC-0222 DIR HC-0347,23,1220692655,10,-41,SNMP/SIAE
28-11-2019 1515,HC-0356,HC-0228 DIR HC-0356,23,3750799878,4,-42,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0356 DIR HC-0228,,937691275,4,,SNMP/SIAE
28-11-2019 1515,HC-0214,HC-0228 DIR HC-0214,19,1828867281,10,-42,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0214 DIR HC-0228,19,556768369,10,-42,SNMP/SIAE
28-11-2019 1515,HC-0075,HC-0228 DIR HC-0075,14,3872176749,22,-34,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0075 DIR HC-0228,14,2386554981,22,-35,SNMP/SIAE
28-11-2019 1515,HC-0142,HC-0228 DIR HC-0142,19,601305903,10,-33,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0142 DIR HC-0228,19,3784938646,10,-36,SNMP/SIAE
28-11-2019 1515,HC-0120,HC-0228 DIR HC-0120,18,2057355515,22,-33,SNMP/SIAE
28-11-2019 1515,HC-0228,HC-0120 DIR HC-0228,18,2501565788,22,-34,SNMP/SIAE
28-11-2019 1515,HC-0118,HC-0142 DIR HC-0118,19,1201379367,10,-40,SNMP/SIAE
28-11-2019 1515,HC-0142,HC-0118 DIR HC-0142,19,567971270,10,-37,SNMP/SIAE
28-11-2019 1515,HC-0246,HC-0075 DIR HC-0246,23,2741733088,10,-44,SNMP/SIAE
28-11-2019 1515,HC-0075,HC-0246 DIR HC-0075,23,2927123971,10,-43,SNMP/SIAE
28-11-2019 1515,HC-0298,HC-0075 DIR HC-0298,24,823470235,7,-50,SNMP/SIAE
28-11-2019 1515,HC-0075,HC-0298 DIR HC-0075,24,963612630,7,-50,SNMP/SIAE
28-11-2019 1515,HC-0389,HC-0246 DIR HC-0389,19,3193377831,10,-40,SNMP/SIAE
28-11-2019 1515,HC-0246,HC-0389 DIR HC-0246,19,2312792550,10,-41,SNMP/SIAE
28-11-2019 1515,HC-0072,HC-0120 DIR HC-0072,23,2948952020,10,-45,SNMP/SIAE
28-11-2019 1515,HC-0120,HC-0072 DIR HC-0120,23,1006890536,10,-45,SNMP/SIAE
28-11-2019 1515,HC-0294,HC-0120 DIR HC-0294,23,781764466,4,-37,SNMP/SIAE
28-11-2019 1515,HC-0120,HC-0294 DIR HC-0120,23,526103658,4,-37,SNMP/SIAE
28-11-2019 1515,HC-0111,HC-0120 DIR HC-0111,23,2233305445,22,-37,SNMP/SIAE
28-11-2019 1515,HC-0120,HC-0111 DIR HC-0120,23,2136853985,22,-36,SNMP/SIAE
28-11-2019 1515,HC-0240,HC-0111 DIR HC-0240,24,1131681823,7,-47,SNMP/SIAE
28-11-2019 1515,HC-0111,HC-0240 DIR HC-0111,24,623477675,7,-46,SNMP/SIAE
28-11-2019 1515,HC-0020,HC-0016 DIR HC-0020,24,1471417582,7,-45,SNMP/SIAE
28-11-2019 1515,HC-0016,HC-0020 DIR HC-0016,24,141942054,7,-47,SNMP/SIAE
28-11-2019 1515,HC-0059,HC-0020 DIR HC-0059,23,361182549,10,-44,SNMP/SIAE
28-11-2019 1515,HC-0020,HC-0059 DIR HC-0020,23,143685155,10,-44,SNMP/SIAE
28-11-2019 1515,HC-0379,HC-0058 dir HC-0379,19,920834682,22,-41,SNMP/SIAE
28-11-2019 1515,HC-0058,HC-0379 dir HC-0058,19,37813023,22,-43,SNMP/SIAE
28-11-2019 1515,HC-0350,HC-0379 DIR HC-0350,17,2027379631,22,-37,SNMP/SIAE
28-11-2019 1515,HC-0379,HC-0350 DIR HC-0379,17,3983841891,22,-38,SNMP/SIAE
28-11-2019 1515,HC-0140,HC-0350 dir HC-0140,23,2926849298,22,-38,SNMP/SIAE
28-11-2019 1515,HC-0350,HC-0140 dir HC-0350,23,1292061070,22,-37,SNMP/SIAE
28-11-2019 1515,HC-0278,HC-0140 DIR HC-0278,19,2330667717,10,-38,SNMP/SIAE
28-11-2019 1515,HC-0140,HC-0278 DIR HC-0140,19,3314733993,10,-38,SNMP/SIAE
28-11-2019 1515,HC-0084,HC-0140 DIR HC-0084,23,952890785,10,-45,SNMP/SIAE
28-11-2019 1515,HC-0140,HC-0084 DIR HC-0140,23,1877895758,10,-45,SNMP/SIAE
28-11-2019 1515,HC-0167,HC-0137 DIR HC-0167,23,2426710817,10,-48,SNMP/SIAE
28-11-2019 1515,HC-0137,HC-0167 DIR HC-0137,23,577778478,10,-48,SNMP/SIAE
28-11-2019 1515,HC-0220,HC-0167 DIR HC-0220,23,1899744735,4,-39,SNMP/SIAE
28-11-2019 1515,HC-0167,HC-0220 DIR HC-0167,23,3177322398,4,-38,SNMP/SIAE
28-11-2019 1515,HC-0376,HC-0137 DIR HC-0376,23,3341766370,22,-36,SNMP/SIAE
28-11-2019 1515,HC-0137,HC-0376 DIR HC-0137,23,1216846141,22,-35,SNMP/SIAE
28-11-2019 1515,HC-0237,HC-0376 DIR HC-0237,19,770442394,10,-40,SNMP/SIAE
28-11-2019 1515,HC-0376,HC-0237 DIR HC-0376,19,3990106861,10,-37,SNMP/SIAE
28-11-2019 1515,HC-0022,HC-0376 DIR HC-0022,23,2488076793,10,-47,SNMP/SIAE
28-11-2019 1515,HC-0376,HC-0022 DIR HC-0376,23,2687864398,10,-47,SNMP/SIAE
28-11-2019 1515,HC-0386,HC-0376 DIR HC-0386,23,491679087,10,-48,SNMP/SIAE
