event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1345,HC-0285,HC-0259 dir HC-0285,27,1764921960,4,-47,SNMP/SIAE
28-11-2019 1345,HC-0259,HC-0285 dir HC-0259,27,2204671739,4,-45,SNMP/SIAE
28-11-2019 1345,HC-0104,HC-0259 dir HC-0104,27,3119804093,4,-54,SNMP/SIAE
28-11-2019 1345,HC-0259,HC-0104 dir HC-0259,27,3165860547,4,-54,SNMP/SIAE
28-11-2019 1345,HC-0108,HC-0259 dir HC-0108,23,1138598016,10,-45,SNMP/SIAE
28-11-2019 1345,HC-0259,HC-0108 dir HC-0259,23,254971332,10,-47,SNMP/SIAE
28-11-2019 1345,HC-0055,HC-0108 dir HC-0055,24,2600630326,7,-47,SNMP/SIAE
28-11-2019 1345,HC-0108,HC-0055 dir HC-0108,24,4158082071,7,-47,SNMP/SIAE
28-11-2019 1345,HC-0082,HC-0228 DIR HC-0082,23,3601632575,10,-48,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0082 DIR HC-0228,23,766631568,10,-48,SNMP/SIAE
28-11-2019 1345,HC-0205,HC-0082 DIR HC-0205,19,1577072733,10,-40,SNMP/SIAE
28-11-2019 1345,HC-0082,HC-0205 DIR HC-0082,19,2379706795,10,-39,SNMP/SIAE
28-11-2019 1345,HC-0131,HC-0205 DIR HC-0131,19,3699473065,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0205,HC-0131 DIR HC-0205,19,3027977012,10,-39,SNMP/SIAE
28-11-2019 1345,HC-0326,HC-0082 dir HC-0326,23,1056982214,4,-37,SNMP/SIAE
28-11-2019 1345,HC-0082,HC-0326 dir HC-0082,23,3843673784,4,-37,SNMP/SIAE
28-11-2019 1345,HC-0291,HC-0228 DIR HC-0291,23,2633796369,22,-38,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0291 DIR HC-0228,23,3610541778,22,-38,SNMP/SIAE
28-11-2019 1345,HC-0347,HC-0291 DIR HC-0347,23,2457523600,10,-44,SNMP/SIAE
28-11-2019 1345,HC-0291,HC-0347 DIR HC-0291,23,856314636,10,-44,SNMP/SIAE
28-11-2019 1345,HC-0222,HC-0347 DIR HC-0222,23,34944850,10,-41,SNMP/SIAE
28-11-2019 1345,HC-0347,HC-0222 DIR HC-0347,23,3808408521,10,-41,SNMP/SIAE
28-11-2019 1345,HC-0356,HC-0228 DIR HC-0356,23,2913884177,4,-42,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0356 DIR HC-0228,,34212579,4,,SNMP/SIAE
28-11-2019 1345,HC-0214,HC-0228 DIR HC-0214,19,1815500999,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0214 DIR HC-0228,19,401077743,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0075,HC-0228 DIR HC-0075,14,1424469840,22,-34,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0075 DIR HC-0228,14,2871060838,22,-34,SNMP/SIAE
28-11-2019 1345,HC-0142,HC-0228 DIR HC-0142,19,502549419,10,-33,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0142 DIR HC-0228,19,3622621729,10,-36,SNMP/SIAE
28-11-2019 1345,HC-0120,HC-0228 DIR HC-0120,18,211233290,22,-33,SNMP/SIAE
28-11-2019 1345,HC-0228,HC-0120 DIR HC-0228,18,14241523,22,-34,SNMP/SIAE
28-11-2019 1345,HC-0118,HC-0142 DIR HC-0118,19,1188826348,10,-39,SNMP/SIAE
28-11-2019 1345,HC-0142,HC-0118 DIR HC-0142,19,472729205,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0246,HC-0075 DIR HC-0246,23,1968496317,10,-44,SNMP/SIAE
28-11-2019 1345,HC-0075,HC-0246 DIR HC-0075,23,202201914,10,-43,SNMP/SIAE
28-11-2019 1345,HC-0298,HC-0075 DIR HC-0298,24,3483265995,7,-50,SNMP/SIAE
28-11-2019 1345,HC-0075,HC-0298 DIR HC-0075,24,4082240582,7,-50,SNMP/SIAE
28-11-2019 1345,HC-0389,HC-0246 DIR HC-0389,19,2808088156,10,-41,SNMP/SIAE
28-11-2019 1345,HC-0246,HC-0389 DIR HC-0246,19,440808443,10,-41,SNMP/SIAE
28-11-2019 1345,HC-0072,HC-0120 DIR HC-0072,23,2914320767,10,-45,SNMP/SIAE
28-11-2019 1345,HC-0120,HC-0072 DIR HC-0120,23,882453056,10,-45,SNMP/SIAE
28-11-2019 1345,HC-0294,HC-0120 DIR HC-0294,23,737587151,4,-36,SNMP/SIAE
28-11-2019 1345,HC-0120,HC-0294 DIR HC-0120,23,4200510384,4,-37,SNMP/SIAE
28-11-2019 1345,HC-0111,HC-0120 DIR HC-0111,23,501974724,22,-37,SNMP/SIAE
28-11-2019 1345,HC-0120,HC-0111 DIR HC-0120,23,594707970,22,-36,SNMP/SIAE
28-11-2019 1345,HC-0240,HC-0111 DIR HC-0240,24,3897896427,7,-47,SNMP/SIAE
28-11-2019 1345,HC-0111,HC-0240 DIR HC-0111,24,44609524,7,-46,SNMP/SIAE
28-11-2019 1345,HC-0020,HC-0016 DIR HC-0020,24,705730524,7,-45,SNMP/SIAE
28-11-2019 1345,HC-0016,HC-0020 DIR HC-0016,24,588304599,7,-47,SNMP/SIAE
28-11-2019 1345,HC-0059,HC-0020 DIR HC-0059,23,4159425305,10,-44,SNMP/SIAE
28-11-2019 1345,HC-0020,HC-0059 DIR HC-0020,23,1112971777,10,-44,SNMP/SIAE
28-11-2019 1345,HC-0379,HC-0058 dir HC-0379,19,4239961887,22,-39,SNMP/SIAE
28-11-2019 1345,HC-0058,HC-0379 dir HC-0058,19,2710386222,22,-41,SNMP/SIAE
28-11-2019 1345,HC-0350,HC-0379 DIR HC-0350,17,1194449808,22,-35,SNMP/SIAE
28-11-2019 1345,HC-0379,HC-0350 DIR HC-0379,17,3175128088,22,-37,SNMP/SIAE
28-11-2019 1345,HC-0140,HC-0350 dir HC-0140,23,2126090262,22,-38,SNMP/SIAE
28-11-2019 1345,HC-0350,HC-0140 dir HC-0350,23,685465054,22,-37,SNMP/SIAE
28-11-2019 1345,HC-0278,HC-0140 DIR HC-0278,19,2258910715,10,-38,SNMP/SIAE
28-11-2019 1345,HC-0140,HC-0278 DIR HC-0140,19,2742746936,10,-38,SNMP/SIAE
28-11-2019 1345,HC-0084,HC-0140 DIR HC-0084,23,945970285,10,-45,SNMP/SIAE
28-11-2019 1345,HC-0140,HC-0084 DIR HC-0140,23,1854307417,10,-45,SNMP/SIAE
28-11-2019 1345,HC-0167,HC-0137 DIR HC-0167,23,2219793323,10,-48,SNMP/SIAE
28-11-2019 1345,HC-0137,HC-0167 DIR HC-0137,23,3468767768,10,-48,SNMP/SIAE
28-11-2019 1345,HC-0220,HC-0167 DIR HC-0220,23,1832132409,4,-39,SNMP/SIAE
28-11-2019 1345,HC-0167,HC-0220 DIR HC-0167,23,2898061296,4,-38,SNMP/SIAE
28-11-2019 1345,HC-0376,HC-0137 DIR HC-0376,23,1903849082,22,-35,SNMP/SIAE
28-11-2019 1345,HC-0137,HC-0376 DIR HC-0137,23,1040702147,22,-34,SNMP/SIAE
28-11-2019 1345,HC-0237,HC-0376 DIR HC-0237,19,4281392013,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0376,HC-0237 DIR HC-0376,19,3662635565,10,-34,SNMP/SIAE
28-11-2019 1345,HC-0022,HC-0376 DIR HC-0022,23,2238271795,10,-46,SNMP/SIAE
28-11-2019 1345,HC-0376,HC-0022 DIR HC-0376,23,800453414,10,-46,SNMP/SIAE
28-11-2019 1345,HC-0386,HC-0376 DIR HC-0386,23,245962609,10,-46,SNMP/SIAE
28-11-2019 1345,HC-0376,HC-0386 DIR HC-0376,23,3697685294,10,-46,SNMP/SIAE
28-11-2019 1345,HC-0149,HC-0022 DIR HC-0149,19,1373781570,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0022,HC-0149 DIR HC-0022,19,723509200,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0081,HC-0137 DIR HC-0081,19,3763139044,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0137,HC-0081 DIR HC-0137,19,1220116002,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0221,HC-0081 DIR HC-0221,23,2395915084,4,-45,SNMP/SIAE
28-11-2019 1345,HC-0081,HC-0221 DIR HC-0081,23,4194779963,4,-44,SNMP/SIAE
28-11-2019 1345,HC-0060,HC-0376 DIR HC-0060,24,1266698197,7,-52,SNMP/SIAE
28-11-2019 1345,HC-0376,HC-0060 dir HC-0376,24,1525404177,7,-52,SNMP/SIAE
28-11-2019 1345,HC-0334,HC-0386 DIR HC-0334,15,184960094,10,-33,SNMP/SIAE
28-11-2019 1345,HC-0386,HC-0334 DIR HC-0386,15,2283913907,10,-34,SNMP/SIAE
28-11-2019 1345,HC-0091,HC-0386 DIR HC-0091,23,3773120948,4,-42,SNMP/SIAE
28-11-2019 1345,HC-0386,HC-0091 DIR HC-0386,23,612635440,4,-42,SNMP/SIAE
28-11-2019 1345,HC-0076,HC-0119 DIR HC-0076,23,57597959,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0119,HC-0076 DIR HC-0119,23,2514076423,10,-42,SNMP/SIAE
28-11-2019 1345,HC-0144,HC-0119 DIR HC-0144,24,907134768,7,-51,SNMP/SIAE
28-11-2019 1345,HC-0119,HC-0144 DIR HC-0119,24,3716069670,7,-52,SNMP/SIAE
28-11-2019 1345,HC-0124,HC-0144 DIR HC-0124,24,923326899,7,-45,SNMP/SIAE
28-11-2019 1345,HC-0144,HC-0124 DIR HC-0144,24,3091691342,7,-45,SNMP/SIAE
28-11-2019 1345,HC-0335,HC-0076 DIR HC-0335,24,18047857,7,-46,SNMP/SIAE
28-11-2019 1345,HC-0076,HC-0335 DIR HC-0076,24,751291796,7,-46,SNMP/SIAE
28-11-2019 1345,HC-0247,HC-0119 DIR HC-0247,27,3664757013,4,-52,SNMP/SIAE
28-11-2019 1345,HC-0119,HC-0247 DIR HC-0119,27,3986555643,4,-50,SNMP/SIAE
28-11-2019 1345,HC-0105,HC-0099 DIR HC-0105,27,3460146020,4,-54,SNMP/SIAE
28-11-2019 1345,HC-0099,HC-0105 DIR HC-0099,27,1299058759,4,-54,SNMP/SIAE
28-11-2019 1345,HC-0161,HC-0099 DIR HC-0161,23,2781652381,10,-47,SNMP/SIAE
28-11-2019 1345,HC-0099,HC-0161 DIR HC-0099,23,4160295382,10,-49,SNMP/SIAE
28-11-2019 1345,HC-0122,HC-0099 DIR HC-0122,19,933061983,10,-36,SNMP/SIAE
28-11-2019 1345,HC-0099,HC-0122 dir HC-0099,19,4040708211,10,-37,SNMP/SIAE
28-11-2019 1345,HC-0169,HC-0161 DIR HC-0169,23,2786816028,4,-40,SNMP/SIAE
28-11-2019 1345,HC-0161,HC-0169 DIR HC-0161,23,2693380365,4,-40,SNMP/SIAE
28-11-2019 1345,HC-0368,HC-0122 dir HC-0368,19,3002613101,10,-39,SNMP/SIAE
28-11-2019 1345,HC-0122,HC-0368 dir HC-0122,19,669003173,10,-38,SNMP/SIAE
