event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1645,HC-0285,HC-0259 dir HC-0285,27,2143915712,4,-48,SNMP/SIAE
28-11-2019 1645,HC-0259,HC-0285 dir HC-0259,27,1638519426,4,-47,SNMP/SIAE
28-11-2019 1645,HC-0104,HC-0259 dir HC-0104,27,3202858580,4,-53,SNMP/SIAE
28-11-2019 1645,HC-0259,HC-0104 dir HC-0259,27,3263752812,4,-54,SNMP/SIAE
28-11-2019 1645,HC-0108,HC-0259 dir HC-0108,23,1656771619,10,-45,SNMP/SIAE
28-11-2019 1645,HC-0259,HC-0108 dir HC-0259,23,1649621719,10,-48,SNMP/SIAE
28-11-2019 1645,HC-0055,HC-0108 dir HC-0055,24,2949259178,7,-47,SNMP/SIAE
28-11-2019 1645,HC-0108,HC-0055 dir HC-0108,24,3374491791,7,-47,SNMP/SIAE
28-11-2019 1645,HC-0082,HC-0228 DIR HC-0082,23,1470734528,10,-49,SNMP/SIAE
28-11-2019 1645,HC-0228,HC-0082 DIR HC-0228,23,2563583505,10,-49,SNMP/SIAE
28-11-2019 1645,HC-0205,HC-0082 DIR HC-0205,19,3456702068,10,-41,SNMP/SIAE
28-11-2019 1645,HC-0082,HC-0205 DIR HC-0082,19,1160191178,10,-40,SNMP/SIAE
28-11-2019 1645,HC-0131,HC-0205 DIR HC-0131,19,1227476130,10,-38,SNMP/SIAE
28-11-2019 1645,HC-0205,HC-0131 DIR HC-0205,19,1694769033,10,-39,SNMP/SIAE
28-11-2019 1645,HC-0326,HC-0082 dir HC-0326,23,1315297509,4,-37,SNMP/SIAE
28-11-2019 1645,HC-0082,HC-0326 dir HC-0082,23,2687677455,4,-37,SNMP/SIAE
28-11-2019 1645,HC-0291,HC-0228 DIR HC-0291,23,2226939883,22,-39,SNMP/SIAE
28-11-2019 1645,HC-0228,HC-0291 DIR HC-0228,23,1889473274,22,-40,SNMP/SIAE
28-11-2019 1645,HC-0347,HC-0291 DIR HC-0347,23,1820288601,10,-46,SNMP/SIAE
28-11-2019 1645,HC-0291,HC-0347 DIR HC-0291,23,1312967108,10,-45,SNMP/SIAE
