event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1400,HC-0285,HC-0259 dir HC-0285,27,1820964897,4,-47,SNMP/SIAE
28-11-2019 1400,HC-0259,HC-0285 dir HC-0259,27,2645157584,4,-45,SNMP/SIAE
28-11-2019 1400,HC-0104,HC-0259 dir HC-0104,27,3126216233,4,-54,SNMP/SIAE
28-11-2019 1400,HC-0259,HC-0104 dir HC-0259,27,3169959985,4,-54,SNMP/SIAE
28-11-2019 1400,HC-0108,HC-0259 dir HC-0108,23,1184087112,10,-45,SNMP/SIAE
28-11-2019 1400,HC-0259,HC-0108 dir HC-0259,23,655605382,10,-47,SNMP/SIAE
28-11-2019 1400,HC-0055,HC-0108 dir HC-0055,24,2633359274,7,-47,SNMP/SIAE
28-11-2019 1400,HC-0108,HC-0055 dir HC-0108,24,115040660,7,-47,SNMP/SIAE
28-11-2019 1400,HC-0082,HC-0228 DIR HC-0082,23,3772526546,10,-48,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0082 DIR HC-0228,23,1311636317,10,-48,SNMP/SIAE
28-11-2019 1400,HC-0205,HC-0082 DIR HC-0205,19,1740201134,10,-40,SNMP/SIAE
28-11-2019 1400,HC-0082,HC-0205 DIR HC-0082,19,2835197954,10,-39,SNMP/SIAE
28-11-2019 1400,HC-0131,HC-0205 DIR HC-0131,19,3852692288,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0205,HC-0131 DIR HC-0205,19,3399142464,10,-39,SNMP/SIAE
28-11-2019 1400,HC-0326,HC-0082 dir HC-0326,23,1063440367,4,-37,SNMP/SIAE
28-11-2019 1400,HC-0082,HC-0326 dir HC-0082,23,3948479222,4,-37,SNMP/SIAE
28-11-2019 1400,HC-0291,HC-0228 DIR HC-0291,23,2924890804,22,-38,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0291 DIR HC-0228,23,4130866948,22,-38,SNMP/SIAE
28-11-2019 1400,HC-0347,HC-0291 DIR HC-0347,23,2737505360,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0291,HC-0347 DIR HC-0291,23,1284336275,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0222,HC-0347 DIR HC-0222,23,48558869,10,-40,SNMP/SIAE
28-11-2019 1400,HC-0347,HC-0222 DIR HC-0347,23,3950332556,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0356,HC-0228 DIR HC-0356,23,3043356103,4,-42,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0356 DIR HC-0228,,236440716,4,,SNMP/SIAE
28-11-2019 1400,HC-0214,HC-0228 DIR HC-0214,19,1822300661,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0214 DIR HC-0228,19,463714954,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0075,HC-0228 DIR HC-0075,14,1797813080,22,-34,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0075 DIR HC-0228,14,3362328394,22,-35,SNMP/SIAE
28-11-2019 1400,HC-0142,HC-0228 DIR HC-0142,19,513319820,10,-33,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0142 DIR HC-0228,19,3649870316,10,-36,SNMP/SIAE
28-11-2019 1400,HC-0120,HC-0228 DIR HC-0120,18,614038824,22,-33,SNMP/SIAE
28-11-2019 1400,HC-0228,HC-0120 DIR HC-0228,18,686272521,22,-34,SNMP/SIAE
28-11-2019 1400,HC-0118,HC-0142 DIR HC-0118,19,1189931373,10,-39,SNMP/SIAE
28-11-2019 1400,HC-0142,HC-0118 DIR HC-0142,19,488853369,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0246,HC-0075 DIR HC-0246,23,2078047893,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0075,HC-0246 DIR HC-0075,23,643759775,10,-43,SNMP/SIAE
28-11-2019 1400,HC-0298,HC-0075 DIR HC-0298,24,3739189423,7,-50,SNMP/SIAE
28-11-2019 1400,HC-0075,HC-0298 DIR HC-0075,24,4147329314,7,-50,SNMP/SIAE
28-11-2019 1400,HC-0389,HC-0246 DIR HC-0389,19,2863452164,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0246,HC-0389 DIR HC-0246,19,823888372,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0072,HC-0120 DIR HC-0072,23,2928788005,10,-45,SNMP/SIAE
28-11-2019 1400,HC-0120,HC-0072 DIR HC-0120,23,906926129,10,-45,SNMP/SIAE
28-11-2019 1400,HC-0294,HC-0120 DIR HC-0294,23,759783616,4,-36,SNMP/SIAE
28-11-2019 1400,HC-0120,HC-0294 DIR HC-0120,23,164358015,4,-37,SNMP/SIAE
28-11-2019 1400,HC-0111,HC-0120 DIR HC-0111,23,860487977,22,-37,SNMP/SIAE
28-11-2019 1400,HC-0120,HC-0111 DIR HC-0120,23,895718860,22,-36,SNMP/SIAE
28-11-2019 1400,HC-0240,HC-0111 DIR HC-0240,24,4150892404,7,-47,SNMP/SIAE
28-11-2019 1400,HC-0111,HC-0240 DIR HC-0111,24,94385618,7,-46,SNMP/SIAE
28-11-2019 1400,HC-0020,HC-0016 DIR HC-0020,24,796150119,7,-45,SNMP/SIAE
28-11-2019 1400,HC-0016,HC-0020 DIR HC-0016,24,1448195377,7,-47,SNMP/SIAE
28-11-2019 1400,HC-0059,HC-0020 DIR HC-0059,23,4201279269,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0020,HC-0059 DIR HC-0020,23,1671308879,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0379,HC-0058 dir HC-0379,19,171461053,22,-39,SNMP/SIAE
28-11-2019 1400,HC-0058,HC-0379 dir HC-0058,19,4146538390,22,-40,SNMP/SIAE
28-11-2019 1400,HC-0350,HC-0379 DIR HC-0350,17,1387514295,22,-35,SNMP/SIAE
28-11-2019 1400,HC-0379,HC-0350 DIR HC-0379,17,45809704,22,-37,SNMP/SIAE
28-11-2019 1400,HC-0140,HC-0350 dir HC-0140,23,2316351707,22,-38,SNMP/SIAE
28-11-2019 1400,HC-0350,HC-0140 dir HC-0350,23,1849458173,22,-37,SNMP/SIAE
28-11-2019 1400,HC-0278,HC-0140 DIR HC-0278,19,2275409365,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0140,HC-0278 DIR HC-0140,19,2750732644,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0084,HC-0140 DIR HC-0084,23,947119588,10,-45,SNMP/SIAE
28-11-2019 1400,HC-0140,HC-0084 DIR HC-0140,23,1858214084,10,-45,SNMP/SIAE
28-11-2019 1400,HC-0167,HC-0137 DIR HC-0167,23,2245007870,10,-49,SNMP/SIAE
28-11-2019 1400,HC-0137,HC-0167 DIR HC-0137,23,3664771103,10,-48,SNMP/SIAE
28-11-2019 1400,HC-0220,HC-0167 DIR HC-0220,23,1834201142,4,-39,SNMP/SIAE
28-11-2019 1400,HC-0167,HC-0220 DIR HC-0167,23,2911766612,4,-38,SNMP/SIAE
28-11-2019 1400,HC-0376,HC-0137 DIR HC-0376,23,2176076836,22,-35,SNMP/SIAE
28-11-2019 1400,HC-0137,HC-0376 DIR HC-0137,23,1872824598,22,-34,SNMP/SIAE
28-11-2019 1400,HC-0237,HC-0376 DIR HC-0237,19,126960683,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0376,HC-0237 DIR HC-0376,19,3798257728,10,-34,SNMP/SIAE
28-11-2019 1400,HC-0022,HC-0376 DIR HC-0022,23,2273099252,10,-46,SNMP/SIAE
28-11-2019 1400,HC-0376,HC-0022 DIR HC-0376,23,1023868310,10,-46,SNMP/SIAE
28-11-2019 1400,HC-0386,HC-0376 DIR HC-0386,23,306401070,10,-46,SNMP/SIAE
28-11-2019 1400,HC-0376,HC-0386 DIR HC-0376,23,3841726777,10,-46,SNMP/SIAE
28-11-2019 1400,HC-0149,HC-0022 DIR HC-0149,19,1374967666,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0022,HC-0149 DIR HC-0022,19,734721591,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0081,HC-0137 DIR HC-0081,19,3778431331,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0137,HC-0081 DIR HC-0137,19,1394370273,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0221,HC-0081 DIR HC-0221,23,2397909969,4,-45,SNMP/SIAE
28-11-2019 1400,HC-0081,HC-0221 DIR HC-0081,23,4229386915,4,-44,SNMP/SIAE
28-11-2019 1400,HC-0060,HC-0376 DIR HC-0060,24,1299056110,7,-52,SNMP/SIAE
28-11-2019 1400,HC-0376,HC-0060 dir HC-0376,24,1885203098,7,-52,SNMP/SIAE
28-11-2019 1400,HC-0334,HC-0386 DIR HC-0334,15,185974889,10,-33,SNMP/SIAE
28-11-2019 1400,HC-0386,HC-0334 DIR HC-0386,15,2295108033,10,-34,SNMP/SIAE
28-11-2019 1400,HC-0091,HC-0386 DIR HC-0091,23,3775511130,4,-42,SNMP/SIAE
28-11-2019 1400,HC-0386,HC-0091 DIR HC-0386,23,628248037,4,-42,SNMP/SIAE
28-11-2019 1400,HC-0076,HC-0119 DIR HC-0076,23,70976232,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0119,HC-0076 DIR HC-0119,23,2665957101,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0144,HC-0119 DIR HC-0144,24,931196810,7,-51,SNMP/SIAE
28-11-2019 1400,HC-0119,HC-0144 DIR HC-0119,24,3937333146,7,-52,SNMP/SIAE
28-11-2019 1400,HC-0124,HC-0144 DIR HC-0124,24,946252003,7,-45,SNMP/SIAE
28-11-2019 1400,HC-0144,HC-0124 DIR HC-0144,24,3312389366,7,-45,SNMP/SIAE
28-11-2019 1400,HC-0335,HC-0076 DIR HC-0335,24,28896275,7,-46,SNMP/SIAE
28-11-2019 1400,HC-0076,HC-0335 DIR HC-0076,24,901991313,7,-46,SNMP/SIAE
28-11-2019 1400,HC-0247,HC-0119 DIR HC-0247,27,3675139391,4,-52,SNMP/SIAE
28-11-2019 1400,HC-0119,HC-0247 DIR HC-0119,27,3992360906,4,-50,SNMP/SIAE
28-11-2019 1400,HC-0105,HC-0099 DIR HC-0105,27,3476124096,4,-54,SNMP/SIAE
28-11-2019 1400,HC-0099,HC-0105 DIR HC-0099,27,1436471275,4,-54,SNMP/SIAE
28-11-2019 1400,HC-0161,HC-0099 DIR HC-0161,23,2967276965,10,-47,SNMP/SIAE
28-11-2019 1400,HC-0099,HC-0161 DIR HC-0099,23,543509739,10,-49,SNMP/SIAE
28-11-2019 1400,HC-0122,HC-0099 DIR HC-0122,19,1150390593,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0099,HC-0122 dir HC-0099,19,1318653342,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0169,HC-0161 DIR HC-0169,23,2934160327,4,-40,SNMP/SIAE
28-11-2019 1400,HC-0161,HC-0169 DIR HC-0161,23,2906795201,4,-40,SNMP/SIAE
28-11-2019 1400,HC-0368,HC-0122 dir HC-0368,19,3216749193,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0122,HC-0368 dir HC-0122,19,2223001206,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0417,HC-0099 DIR HC-0417,24,2186443521,7,-50,SNMP/SIAE
28-11-2019 1400,HC-0099,HC-0417 DIR HC-0099,24,2410102820,7,-49,SNMP/SIAE
28-11-2019 1400,HC-0053,HC-0417 dir HC-0053,27,4185226835,4,-42,SNMP/SIAE
28-11-2019 1400,HC-0417,HC-0053 DIR HC-0417,27,3244991075,4,-42,SNMP/SIAE
28-11-2019 1400,HC-0157,HC-0024 DIR HC-0157,19,2921971829,10,-39,SNMP/SIAE
28-11-2019 1400,HC-0024,HC-0157 DIR HC-0024,19,1351518527,10,-39,SNMP/SIAE
28-11-2019 1400,HC-0026,HC-0293 dir HC-0026,23,2076585430,10,-46,SNMP/SIAE
28-11-2019 1400,HC-0293,HC-0026 dir HC-0293,23,3565738909,10,-47,SNMP/SIAE
28-11-2019 1400,HC-0300,HC-0293 DIR HC-0300,19,42126952,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0293,HC-0300 DIR HC-0293,19,2757965979,10,-38,SNMP/SIAE
28-11-2019 1400,HC-0208,HC-0026 DIR HC-0208,19,3843581058,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0026,HC-0208 DIR HC-0026,19,1147680840,10,-40,SNMP/SIAE
28-11-2019 1400,HC-0093,HC-0026 DIR HC-0093,23,2449037243,10,-48,SNMP/SIAE
28-11-2019 1400,HC-0026,HC-0093 DIR HC-0026,23,1303506500,10,-48,SNMP/SIAE
28-11-2019 1400,HC-0342,HC-0093 dir HC-0342,24,2362767476,7,-45,SNMP/SIAE
28-11-2019 1400,HC-0093,HC-0342 dir HC-0093,24,3404582397,7,-45,SNMP/SIAE
28-11-2019 1400,HC-0211,HC-0078 DIR HC-0211,19,2725710217,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0078,HC-0211 DIR HC-0078,19,2184845203,10,-43,SNMP/SIAE
28-11-2019 1400,HC-0381,HC-0229 DIR HC-0381,19,1472021561,10,-42,SNMP/SIAE
28-11-2019 1400,HC-0229,HC-0381 DIR HC-0229,19,2294354807,10,-43,SNMP/SIAE
28-11-2019 1400,HC-0190,HC-0381 dir HC-0190,23,3814115397,4,-41,SNMP/SIAE
28-11-2019 1400,HC-0381,HC-0190 DIR HC-0381,23,3365618497,4,-40,SNMP/SIAE
28-11-2019 1400,HC-0410,HC-0229 DIR HC-0410,23,2058812470,10,-43,SNMP/SIAE
28-11-2019 1400,HC-0229,HC-0410 DIR HC-0229,23,2373130012,10,-41,SNMP/SIAE
28-11-2019 1400,HC-0380,HC-0174 dir HC-0380,19,344901088,10,-36,SNMP/SIAE
28-11-2019 1400,HC-0174,HC-0380 DIR HC-0174,19,354093811,10,-37,SNMP/SIAE
28-11-2019 1400,HC-0297,HC-0380 DIR HC-0297,19,1229982870,10,-43,SNMP/SIAE
28-11-2019 1400,HC-0380,HC-0297 DIR HC-0380,19,4227580263,10,-44,SNMP/SIAE
28-11-2019 1400,HC-0373,HC-0096 dir HC-0373,23,3982996562,22,-35,SNMP/SIAE
28-11-2019 1400,HC-0096,HC-0373 dir HC-0096,23,2385401692,22,-36,SNMP/SIAE
28-11-2019 1400,HC-0374,HC-0096 DIR HC-0374,21,360693074,22,-36,SNMP/SIAE
28-11-2019 1400,HC-0096,HC-0374 DIR HC-0096,21,1172546823,22,-35,SNMP/SIAE
28-11-2019 1400,HC-0051,HC-0373 DIR HC-0051,27,3951825012,4,-50,SNMP/SIAE
28-11-2019 1400,HC-0373,HC-0051 DIR HC-0373,27,3155562917,4,-49,SNMP/SIAE
28-11-2019 1400,HC-0034,HC-0373 dir HC-0034,27,1320425566,4,-51,SNMP/SIAE
28-11-2019 1400,HC-0373,HC-0034 dir HC-0373,27,3344258816,4,-51,SNMP/SIAE
28-11-2019 1400,HC-0385,HC-0374 dir HC-0385,21,720242534,22,-36,SNMP/SIAE
28-11-2019 1400,HC-0374,HC-0385 dir HC-0374,21,177353037,22,-34,SNMP/SIAE
28-11-2019 1400,HC-0048,HC-0385 DIR HC-0048,19,3758343190,10,-36,SNMP/SIAE
28-11-2019 1400,HC-0385,HC-0048 DIR HC-0385,19,300263747,10,-36,SNMP/SIAE
