event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1300,HC-0285,HC-0259 dir HC-0285,27,1666192531,4,-47,SNMP/SIAE
28-11-2019 1300,HC-0259,HC-0285 dir HC-0259,27,1353484922,4,-45,SNMP/SIAE
28-11-2019 1300,HC-0104,HC-0259 dir HC-0104,27,3099432185,4,-54,SNMP/SIAE
28-11-2019 1300,HC-0259,HC-0104 dir HC-0259,27,3152908274,4,-53,SNMP/SIAE
28-11-2019 1300,HC-0108,HC-0259 dir HC-0108,23,1002748882,10,-45,SNMP/SIAE
28-11-2019 1300,HC-0259,HC-0108 dir HC-0259,23,3891475256,10,-47,SNMP/SIAE
28-11-2019 1300,HC-0055,HC-0108 dir HC-0055,24,2555269931,7,-47,SNMP/SIAE
28-11-2019 1300,HC-0108,HC-0055 dir HC-0108,24,3917482510,7,-47,SNMP/SIAE
28-11-2019 1300,HC-0082,HC-0228 DIR HC-0082,23,2987867860,10,-48,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0082 DIR HC-0228,23,3731594129,10,-48,SNMP/SIAE
28-11-2019 1300,HC-0205,HC-0082 DIR HC-0205,19,1085927254,10,-40,SNMP/SIAE
28-11-2019 1300,HC-0082,HC-0205 DIR HC-0082,19,1476514458,10,-39,SNMP/SIAE
28-11-2019 1300,HC-0131,HC-0205 DIR HC-0131,19,3248714822,10,-37,SNMP/SIAE
28-11-2019 1300,HC-0205,HC-0131 DIR HC-0205,19,2155988967,10,-39,SNMP/SIAE
28-11-2019 1300,HC-0326,HC-0082 dir HC-0326,23,952417760,4,-37,SNMP/SIAE
28-11-2019 1300,HC-0082,HC-0326 dir HC-0082,23,3462352832,4,-37,SNMP/SIAE
28-11-2019 1300,HC-0291,HC-0228 DIR HC-0291,23,1749286596,22,-38,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0291 DIR HC-0228,23,2088845513,22,-38,SNMP/SIAE
28-11-2019 1300,HC-0347,HC-0291 DIR HC-0347,23,1624619732,10,-44,SNMP/SIAE
28-11-2019 1300,HC-0291,HC-0347 DIR HC-0291,23,3895670738,10,-44,SNMP/SIAE
28-11-2019 1300,HC-0222,HC-0347 DIR HC-0222,23,4239302905,10,-40,SNMP/SIAE
28-11-2019 1300,HC-0347,HC-0222 DIR HC-0347,23,3006664399,10,-41,SNMP/SIAE
28-11-2019 1300,HC-0356,HC-0228 DIR HC-0356,23,2476564675,4,-42,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0356 DIR HC-0228,,3665826167,4,,SNMP/SIAE
28-11-2019 1300,HC-0214,HC-0228 DIR HC-0214,19,1805873486,10,-42,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0214 DIR HC-0228,19,193476303,10,-42,SNMP/SIAE
28-11-2019 1300,HC-0075,HC-0228 DIR HC-0075,14,360604624,22,-34,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0075 DIR HC-0228,14,1058164376,22,-34,SNMP/SIAE
28-11-2019 1300,HC-0142,HC-0228 DIR HC-0142,19,441515213,10,-34,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0142 DIR HC-0228,19,3542695159,10,-36,SNMP/SIAE
28-11-2019 1300,HC-0120,HC-0228 DIR HC-0120,18,3406664989,22,-33,SNMP/SIAE
28-11-2019 1300,HC-0228,HC-0120 DIR HC-0228,18,2462649587,22,-34,SNMP/SIAE
28-11-2019 1300,HC-0118,HC-0142 DIR HC-0118,19,1176232500,10,-39,SNMP/SIAE
28-11-2019 1300,HC-0142,HC-0118 DIR HC-0142,19,423803726,10,-37,SNMP/SIAE
28-11-2019 1300,HC-0246,HC-0075 DIR HC-0246,23,1736321825,10,-44,SNMP/SIAE
28-11-2019 1300,HC-0075,HC-0246 DIR HC-0075,23,3040455203,10,-43,SNMP/SIAE
28-11-2019 1300,HC-0298,HC-0075 DIR HC-0298,24,2668579117,7,-50,SNMP/SIAE
