event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1330,HC-0285,HC-0259 dir HC-0285,27,1715125040,4,-47,SNMP/SIAE
28-11-2019 1330,HC-0259,HC-0285 dir HC-0259,27,1874093630,4,-45,SNMP/SIAE
28-11-2019 1330,HC-0104,HC-0259 dir HC-0104,27,3113609686,4,-54,SNMP/SIAE
28-11-2019 1330,HC-0259,HC-0104 dir HC-0259,27,3161694165,4,-54,SNMP/SIAE
28-11-2019 1330,HC-0108,HC-0259 dir HC-0108,23,1109475380,10,-45,SNMP/SIAE
28-11-2019 1330,HC-0259,HC-0108 dir HC-0259,23,45737034,10,-47,SNMP/SIAE
28-11-2019 1330,HC-0055,HC-0108 dir HC-0055,24,2577018373,7,-47,SNMP/SIAE
28-11-2019 1330,HC-0108,HC-0055 dir HC-0108,24,3985406525,7,-47,SNMP/SIAE
28-11-2019 1330,HC-0082,HC-0228 DIR HC-0082,23,3407104663,10,-48,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0082 DIR HC-0228,23,283277912,10,-48,SNMP/SIAE
28-11-2019 1330,HC-0205,HC-0082 DIR HC-0205,19,1399247926,10,-40,SNMP/SIAE
28-11-2019 1330,HC-0082,HC-0205 DIR HC-0082,19,1968578491,10,-39,SNMP/SIAE
28-11-2019 1330,HC-0131,HC-0205 DIR HC-0131,19,3536657358,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0205,HC-0131 DIR HC-0205,19,2620758314,10,-39,SNMP/SIAE
28-11-2019 1330,HC-0326,HC-0082 dir HC-0326,23,1051521894,4,-37,SNMP/SIAE
28-11-2019 1330,HC-0082,HC-0326 dir HC-0082,23,3776708970,4,-37,SNMP/SIAE
28-11-2019 1330,HC-0291,HC-0228 DIR HC-0291,23,2332243708,22,-38,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0291 DIR HC-0228,23,3051255873,22,-38,SNMP/SIAE
28-11-2019 1330,HC-0347,HC-0291 DIR HC-0347,23,2173733952,10,-44,SNMP/SIAE
28-11-2019 1330,HC-0291,HC-0347 DIR HC-0291,23,388356020,10,-44,SNMP/SIAE
28-11-2019 1330,HC-0222,HC-0347 DIR HC-0222,23,4286479563,10,-40,SNMP/SIAE
28-11-2019 1330,HC-0347,HC-0222 DIR HC-0347,23,3543290267,10,-41,SNMP/SIAE
28-11-2019 1330,HC-0356,HC-0228 DIR HC-0356,23,2758903245,4,-42,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0356 DIR HC-0228,,4019124487,4,,SNMP/SIAE
28-11-2019 1330,HC-0214,HC-0228 DIR HC-0214,19,1811644135,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0214 DIR HC-0228,19,304811117,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0075,HC-0228 DIR HC-0075,14,1072975589,22,-34,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0075 DIR HC-0228,14,2343511180,22,-35,SNMP/SIAE
28-11-2019 1330,HC-0142,HC-0228 DIR HC-0142,19,474496305,10,-34,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0142 DIR HC-0228,19,3584584273,10,-36,SNMP/SIAE
28-11-2019 1330,HC-0120,HC-0228 DIR HC-0120,18,4096607421,22,-33,SNMP/SIAE
28-11-2019 1330,HC-0228,HC-0120 DIR HC-0228,18,3715077105,22,-34,SNMP/SIAE
28-11-2019 1330,HC-0118,HC-0142 DIR HC-0118,19,1187732676,10,-40,SNMP/SIAE
28-11-2019 1330,HC-0142,HC-0118 DIR HC-0142,19,456463236,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0246,HC-0075 DIR HC-0246,23,1894606746,10,-44,SNMP/SIAE
28-11-2019 1330,HC-0075,HC-0246 DIR HC-0075,23,4012907261,10,-43,SNMP/SIAE
28-11-2019 1330,HC-0298,HC-0075 DIR HC-0298,24,3212393276,7,-50,SNMP/SIAE
28-11-2019 1330,HC-0075,HC-0298 DIR HC-0075,24,4023421938,7,-50,SNMP/SIAE
28-11-2019 1330,HC-0389,HC-0246 DIR HC-0389,19,2743556308,10,-41,SNMP/SIAE
28-11-2019 1330,HC-0246,HC-0389 DIR HC-0246,19,75639777,10,-41,SNMP/SIAE
28-11-2019 1330,HC-0072,HC-0120 DIR HC-0072,23,2893804130,10,-45,SNMP/SIAE
28-11-2019 1330,HC-0120,HC-0072 DIR HC-0120,23,857328002,10,-45,SNMP/SIAE
28-11-2019 1330,HC-0294,HC-0120 DIR HC-0294,23,712054877,4,-37,SNMP/SIAE
28-11-2019 1330,HC-0120,HC-0294 DIR HC-0120,23,3943000652,4,-37,SNMP/SIAE
28-11-2019 1330,HC-0111,HC-0120 DIR HC-0111,23,144293742,22,-37,SNMP/SIAE
28-11-2019 1330,HC-0120,HC-0111 DIR HC-0120,23,324517732,22,-36,SNMP/SIAE
28-11-2019 1330,HC-0240,HC-0111 DIR HC-0240,24,3643202419,7,-47,SNMP/SIAE
28-11-2019 1330,HC-0111,HC-0240 DIR HC-0111,24,4280921851,7,-46,SNMP/SIAE
28-11-2019 1330,HC-0020,HC-0016 DIR HC-0020,24,600130385,7,-45,SNMP/SIAE
28-11-2019 1330,HC-0016,HC-0020 DIR HC-0016,24,4180103045,7,-47,SNMP/SIAE
28-11-2019 1330,HC-0059,HC-0020 DIR HC-0059,23,4118788018,10,-44,SNMP/SIAE
28-11-2019 1330,HC-0020,HC-0059 DIR HC-0020,23,644776821,10,-44,SNMP/SIAE
28-11-2019 1330,HC-0379,HC-0058 dir HC-0379,19,3964184838,22,-40,SNMP/SIAE
28-11-2019 1330,HC-0058,HC-0379 dir HC-0058,19,793036386,22,-41,SNMP/SIAE
28-11-2019 1330,HC-0350,HC-0379 DIR HC-0350,17,964260367,22,-36,SNMP/SIAE
28-11-2019 1330,HC-0379,HC-0350 DIR HC-0379,17,1618299814,22,-37,SNMP/SIAE
28-11-2019 1330,HC-0140,HC-0350 dir HC-0140,23,1915014257,22,-38,SNMP/SIAE
28-11-2019 1330,HC-0350,HC-0140 dir HC-0350,23,3433115947,22,-38,SNMP/SIAE
28-11-2019 1330,HC-0278,HC-0140 DIR HC-0278,19,2244734606,10,-38,SNMP/SIAE
28-11-2019 1330,HC-0140,HC-0278 DIR HC-0140,19,2698750448,10,-38,SNMP/SIAE
28-11-2019 1330,HC-0084,HC-0140 DIR HC-0084,23,944825916,10,-45,SNMP/SIAE
28-11-2019 1330,HC-0140,HC-0084 DIR HC-0140,23,1850467778,10,-45,SNMP/SIAE
28-11-2019 1330,HC-0167,HC-0137 DIR HC-0167,23,2188405412,10,-49,SNMP/SIAE
28-11-2019 1330,HC-0137,HC-0167 DIR HC-0137,23,3245360268,10,-48,SNMP/SIAE
28-11-2019 1330,HC-0220,HC-0167 DIR HC-0220,23,1829284362,4,-39,SNMP/SIAE
28-11-2019 1330,HC-0167,HC-0220 DIR HC-0167,23,2882045783,4,-38,SNMP/SIAE
28-11-2019 1330,HC-0376,HC-0137 DIR HC-0376,23,1661942398,22,-35,SNMP/SIAE
28-11-2019 1330,HC-0137,HC-0376 DIR HC-0137,23,4082449003,22,-34,SNMP/SIAE
28-11-2019 1330,HC-0237,HC-0376 DIR HC-0237,19,4144195507,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0376,HC-0237 DIR HC-0376,19,3545108154,10,-34,SNMP/SIAE
28-11-2019 1330,HC-0022,HC-0376 DIR HC-0022,23,2197289695,10,-46,SNMP/SIAE
28-11-2019 1330,HC-0376,HC-0022 DIR HC-0376,23,403745378,10,-46,SNMP/SIAE
28-11-2019 1330,HC-0386,HC-0376 DIR HC-0386,23,218866862,10,-46,SNMP/SIAE
28-11-2019 1330,HC-0376,HC-0386 DIR HC-0376,23,3366093681,10,-46,SNMP/SIAE
28-11-2019 1330,HC-0149,HC-0022 DIR HC-0149,19,1372606518,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0022,HC-0149 DIR HC-0022,19,712265680,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0081,HC-0137 DIR HC-0081,19,3743196284,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0137,HC-0081 DIR HC-0137,19,923724382,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0221,HC-0081 DIR HC-0221,23,2391205601,4,-45,SNMP/SIAE
28-11-2019 1330,HC-0081,HC-0221 DIR HC-0081,23,4109468965,4,-44,SNMP/SIAE
28-11-2019 1330,HC-0060,HC-0376 DIR HC-0060,24,1234166713,7,-52,SNMP/SIAE
28-11-2019 1330,HC-0376,HC-0060 dir HC-0376,24,1087067805,7,-52,SNMP/SIAE
28-11-2019 1330,HC-0334,HC-0386 DIR HC-0334,15,179183874,10,-33,SNMP/SIAE
28-11-2019 1330,HC-0386,HC-0334 DIR HC-0386,15,2205266720,10,-34,SNMP/SIAE
28-11-2019 1330,HC-0091,HC-0386 DIR HC-0091,23,3771053558,4,-41,SNMP/SIAE
28-11-2019 1330,HC-0386,HC-0091 DIR HC-0386,23,597881272,4,-41,SNMP/SIAE
28-11-2019 1330,HC-0076,HC-0119 DIR HC-0076,23,47105967,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0119,HC-0076 DIR HC-0119,23,2422923620,10,-42,SNMP/SIAE
28-11-2019 1330,HC-0144,HC-0119 DIR HC-0144,24,876588561,7,-51,SNMP/SIAE
28-11-2019 1330,HC-0119,HC-0144 DIR HC-0119,24,3505654831,7,-52,SNMP/SIAE
28-11-2019 1330,HC-0124,HC-0144 DIR HC-0124,24,893913051,7,-45,SNMP/SIAE
28-11-2019 1330,HC-0144,HC-0124 DIR HC-0144,24,2881833234,7,-45,SNMP/SIAE
28-11-2019 1330,HC-0335,HC-0076 DIR HC-0335,24,10395372,7,-46,SNMP/SIAE
28-11-2019 1330,HC-0076,HC-0335 DIR HC-0076,24,662239439,7,-46,SNMP/SIAE
28-11-2019 1330,HC-0247,HC-0119 DIR HC-0247,27,3657885463,4,-52,SNMP/SIAE
28-11-2019 1330,HC-0119,HC-0247 DIR HC-0119,27,3975232352,4,-50,SNMP/SIAE
28-11-2019 1330,HC-0105,HC-0099 DIR HC-0105,27,3438635355,4,-54,SNMP/SIAE
28-11-2019 1330,HC-0099,HC-0105 DIR HC-0099,27,1134163987,4,-54,SNMP/SIAE
28-11-2019 1330,HC-0161,HC-0099 DIR HC-0161,23,2596927762,10,-47,SNMP/SIAE
28-11-2019 1330,HC-0099,HC-0161 DIR HC-0099,23,3535990810,10,-49,SNMP/SIAE
28-11-2019 1330,HC-0122,HC-0099 DIR HC-0122,19,717486376,10,-36,SNMP/SIAE
28-11-2019 1330,HC-0099,HC-0122 dir HC-0099,19,2751331096,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0169,HC-0161 DIR HC-0169,23,2637528848,4,-40,SNMP/SIAE
28-11-2019 1330,HC-0161,HC-0169 DIR HC-0161,23,2491815294,4,-40,SNMP/SIAE
28-11-2019 1330,HC-0368,HC-0122 dir HC-0368,19,2789986697,10,-38,SNMP/SIAE
28-11-2019 1330,HC-0122,HC-0368 dir HC-0122,19,3684163495,10,-37,SNMP/SIAE
28-11-2019 1330,HC-0417,HC-0099 DIR HC-0417,24,1925363351,7,-50,SNMP/SIAE
28-11-2019 1330,HC-0099,HC-0417 DIR HC-0099,24,2393184877,7,-50,SNMP/SIAE
28-11-2019 1330,HC-0053,HC-0417 dir HC-0053,27,3927050945,4,-42,SNMP/SIAE
28-11-2019 1330,HC-0417,HC-0053 DIR HC-0417,27,3228994623,4,-42,SNMP/SIAE
28-11-2019 1330,HC-0157,HC-0024 DIR HC-0157,19,2905453845,10,-39,SNMP/SIAE
28-11-2019 1330,HC-0024,HC-0157 DIR HC-0024,19,1298358093,10,-39,SNMP/SIAE
28-11-2019 1330,HC-0026,HC-0293 dir HC-0026,23,1853547799,10,-46,SNMP/SIAE
28-11-2019 1330,HC-0293,HC-0026 dir HC-0293,23,1787962258,10,-47,SNMP/SIAE
