event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1415,HC-0285,HC-0259 dir HC-0285,27,1851708879,4,-47,SNMP/SIAE
28-11-2019 1415,HC-0259,HC-0285 dir HC-0259,27,3087877697,4,-45,SNMP/SIAE
28-11-2019 1415,HC-0104,HC-0259 dir HC-0104,27,3132664440,4,-54,SNMP/SIAE
28-11-2019 1415,HC-0259,HC-0104 dir HC-0259,27,3174033502,4,-53,SNMP/SIAE
28-11-2019 1415,HC-0108,HC-0259 dir HC-0108,23,1230566164,10,-45,SNMP/SIAE
28-11-2019 1415,HC-0259,HC-0108 dir HC-0259,23,1062163849,10,-47,SNMP/SIAE
28-11-2019 1415,HC-0055,HC-0108 dir HC-0055,24,2667213632,7,-47,SNMP/SIAE
28-11-2019 1415,HC-0108,HC-0055 dir HC-0108,24,367886702,7,-47,SNMP/SIAE
28-11-2019 1415,HC-0082,HC-0228 DIR HC-0082,23,3936407022,10,-48,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0082 DIR HC-0228,23,1698065486,10,-48,SNMP/SIAE
28-11-2019 1415,HC-0205,HC-0082 DIR HC-0205,19,1892861201,10,-40,SNMP/SIAE
28-11-2019 1415,HC-0082,HC-0205 DIR HC-0082,19,3111997932,10,-39,SNMP/SIAE
28-11-2019 1415,HC-0131,HC-0205 DIR HC-0131,19,4002395321,10,-38,SNMP/SIAE
28-11-2019 1415,HC-0205,HC-0131 DIR HC-0205,19,3668500860,10,-39,SNMP/SIAE
28-11-2019 1415,HC-0326,HC-0082 dir HC-0326,23,1073368432,4,-37,SNMP/SIAE
28-11-2019 1415,HC-0082,HC-0326 dir HC-0082,23,4073178474,4,-37,SNMP/SIAE
28-11-2019 1415,HC-0291,HC-0228 DIR HC-0291,23,3238108058,22,-38,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0291 DIR HC-0228,23,447241680,22,-38,SNMP/SIAE
28-11-2019 1415,HC-0347,HC-0291 DIR HC-0347,23,3026466150,10,-44,SNMP/SIAE
28-11-2019 1415,HC-0291,HC-0347 DIR HC-0291,23,1822658771,10,-44,SNMP/SIAE
28-11-2019 1415,HC-0222,HC-0347 DIR HC-0222,23,77486797,10,-40,SNMP/SIAE
28-11-2019 1415,HC-0347,HC-0222 DIR HC-0347,23,4170757006,10,-41,SNMP/SIAE
28-11-2019 1415,HC-0356,HC-0228 DIR HC-0356,23,3181693231,4,-42,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0356 DIR HC-0228,,333398774,4,,SNMP/SIAE
28-11-2019 1415,HC-0214,HC-0228 DIR HC-0214,19,1824050575,10,-42,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0214 DIR HC-0228,19,492992752,10,-42,SNMP/SIAE
28-11-2019 1415,HC-0075,HC-0228 DIR HC-0075,14,2266096536,22,-34,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0075 DIR HC-0228,14,3860963163,22,-35,SNMP/SIAE
28-11-2019 1415,HC-0142,HC-0228 DIR HC-0142,19,526935555,10,-33,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0142 DIR HC-0228,19,3672832447,10,-35,SNMP/SIAE
28-11-2019 1415,HC-0120,HC-0228 DIR HC-0120,18,930304327,22,-33,SNMP/SIAE
28-11-2019 1415,HC-0228,HC-0120 DIR HC-0228,18,1492129453,22,-34,SNMP/SIAE
28-11-2019 1415,HC-0118,HC-0142 DIR HC-0118,19,1191018594,10,-39,SNMP/SIAE
28-11-2019 1415,HC-0142,HC-0118 DIR HC-0142,19,504722457,10,-37,SNMP/SIAE
28-11-2019 1415,HC-0246,HC-0075 DIR HC-0246,23,2282132992,10,-44,SNMP/SIAE
28-11-2019 1415,HC-0075,HC-0246 DIR HC-0075,23,1100655034,10,-43,SNMP/SIAE
28-11-2019 1415,HC-0298,HC-0075 DIR HC-0298,24,4002788014,7,-50,SNMP/SIAE
28-11-2019 1415,HC-0075,HC-0298 DIR HC-0075,24,4204438636,7,-50,SNMP/SIAE
28-11-2019 1415,HC-0389,HC-0246 DIR HC-0389,19,2951340884,10,-41,SNMP/SIAE
28-11-2019 1415,HC-0246,HC-0389 DIR HC-0246,19,1207129456,10,-41,SNMP/SIAE
28-11-2019 1415,HC-0072,HC-0120 DIR HC-0072,23,2936728695,10,-45,SNMP/SIAE
28-11-2019 1415,HC-0120,HC-0072 DIR HC-0120,23,930010236,10,-45,SNMP/SIAE
28-11-2019 1415,HC-0294,HC-0120 DIR HC-0294,23,776871121,4,-37,SNMP/SIAE
28-11-2019 1415,HC-0120,HC-0294 DIR HC-0120,23,424005237,4,-37,SNMP/SIAE
28-11-2019 1415,HC-0111,HC-0120 DIR HC-0111,23,1136243041,22,-37,SNMP/SIAE
28-11-2019 1415,HC-0120,HC-0111 DIR HC-0120,23,1237681748,22,-36,SNMP/SIAE
28-11-2019 1415,HC-0240,HC-0111 DIR HC-0240,24,108782079,7,-47,SNMP/SIAE
28-11-2019 1415,HC-0111,HC-0240 DIR HC-0111,24,177817516,7,-46,SNMP/SIAE
28-11-2019 1415,HC-0020,HC-0016 DIR HC-0020,24,891089626,7,-45,SNMP/SIAE
28-11-2019 1415,HC-0016,HC-0020 DIR HC-0016,24,2023866935,7,-47,SNMP/SIAE
28-11-2019 1415,HC-0059,HC-0020 DIR HC-0059,23,4263595865,10,-44,SNMP/SIAE
28-11-2019 1415,HC-0020,HC-0059 DIR HC-0020,23,2141690276,10,-44,SNMP/SIAE
28-11-2019 1415,HC-0379,HC-0058 dir HC-0379,19,360774127,22,-39,SNMP/SIAE
