event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1500,HC-0285,HC-0259 dir HC-0285,27,1928543339,4,-47,SNMP/SIAE
28-11-2019 1500,HC-0259,HC-0285 dir HC-0259,27,3967822730,4,-45,SNMP/SIAE
28-11-2019 1500,HC-0104,HC-0259 dir HC-0104,27,3152949577,4,-54,SNMP/SIAE
28-11-2019 1500,HC-0259,HC-0104 dir HC-0259,27,3186147082,4,-54,SNMP/SIAE
28-11-2019 1500,HC-0108,HC-0259 dir HC-0108,23,1401527506,10,-45,SNMP/SIAE
28-11-2019 1500,HC-0259,HC-0108 dir HC-0259,23,2417389861,10,-47,SNMP/SIAE
28-11-2019 1500,HC-0055,HC-0108 dir HC-0055,24,2807131959,7,-47,SNMP/SIAE
28-11-2019 1500,HC-0108,HC-0055 dir HC-0108,24,1442057367,7,-47,SNMP/SIAE
28-11-2019 1500,HC-0082,HC-0228 DIR HC-0082,23,196636644,10,-48,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0082 DIR HC-0228,23,3562513550,10,-48,SNMP/SIAE
28-11-2019 1500,HC-0205,HC-0082 DIR HC-0205,19,2377943319,10,-40,SNMP/SIAE
28-11-2019 1500,HC-0082,HC-0205 DIR HC-0082,19,4249613912,10,-39,SNMP/SIAE
28-11-2019 1500,HC-0131,HC-0205 DIR HC-0131,19,180372739,10,-37,SNMP/SIAE
28-11-2019 1500,HC-0205,HC-0131 DIR HC-0205,19,508023645,10,-39,SNMP/SIAE
28-11-2019 1500,HC-0326,HC-0082 dir HC-0326,23,1139585036,4,-37,SNMP/SIAE
28-11-2019 1500,HC-0082,HC-0326 dir HC-0082,23,549731801,4,-37,SNMP/SIAE
28-11-2019 1500,HC-0291,HC-0228 DIR HC-0291,23,4208997245,22,-38,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0291 DIR HC-0228,23,3267302765,22,-38,SNMP/SIAE
28-11-2019 1500,HC-0347,HC-0291 DIR HC-0347,23,3942723586,10,-44,SNMP/SIAE
28-11-2019 1500,HC-0291,HC-0347 DIR HC-0291,23,1654367,10,-44,SNMP/SIAE
28-11-2019 1500,HC-0222,HC-0347 DIR HC-0222,23,179527255,10,-40,SNMP/SIAE
28-11-2019 1500,HC-0347,HC-0222 DIR HC-0347,23,888222777,10,-40,SNMP/SIAE
28-11-2019 1500,HC-0356,HC-0228 DIR HC-0356,23,3614557521,4,-42,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0356 DIR HC-0228,,780591948,4,,SNMP/SIAE
28-11-2019 1500,HC-0214,HC-0228 DIR HC-0214,19,1827722786,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0214 DIR HC-0228,19,540945757,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0075,HC-0228 DIR HC-0075,14,3518361209,22,-34,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0075 DIR HC-0228,14,1563852532,22,-35,SNMP/SIAE
28-11-2019 1500,HC-0142,HC-0228 DIR HC-0142,19,599081806,10,-34,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0142 DIR HC-0228,19,3768771447,10,-36,SNMP/SIAE
28-11-2019 1500,HC-0120,HC-0228 DIR HC-0120,18,1785688090,22,-33,SNMP/SIAE
28-11-2019 1500,HC-0228,HC-0120 DIR HC-0228,18,2307051556,22,-34,SNMP/SIAE
28-11-2019 1500,HC-0118,HC-0142 DIR HC-0118,19,1200292491,10,-40,SNMP/SIAE
28-11-2019 1500,HC-0142,HC-0118 DIR HC-0142,19,552239302,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0246,HC-0075 DIR HC-0246,23,2683020286,10,-44,SNMP/SIAE
28-11-2019 1500,HC-0075,HC-0246 DIR HC-0075,23,2397171362,10,-43,SNMP/SIAE
28-11-2019 1500,HC-0298,HC-0075 DIR HC-0298,24,536726749,7,-50,SNMP/SIAE
28-11-2019 1500,HC-0075,HC-0298 DIR HC-0075,24,655907644,7,-50,SNMP/SIAE
28-11-2019 1500,HC-0389,HC-0246 DIR HC-0389,19,3149570219,10,-41,SNMP/SIAE
28-11-2019 1500,HC-0246,HC-0389 DIR HC-0246,19,1961271326,10,-41,SNMP/SIAE
28-11-2019 1500,HC-0072,HC-0120 DIR HC-0072,23,2946455358,10,-45,SNMP/SIAE
28-11-2019 1500,HC-0120,HC-0072 DIR HC-0120,23,990458214,10,-45,SNMP/SIAE
28-11-2019 1500,HC-0294,HC-0120 DIR HC-0294,23,781215646,4,-37,SNMP/SIAE
28-11-2019 1500,HC-0120,HC-0294 DIR HC-0120,23,510582058,4,-37,SNMP/SIAE
28-11-2019 1500,HC-0111,HC-0120 DIR HC-0111,23,1967075592,22,-37,SNMP/SIAE
28-11-2019 1500,HC-0120,HC-0111 DIR HC-0120,23,1944314802,22,-36,SNMP/SIAE
28-11-2019 1500,HC-0240,HC-0111 DIR HC-0240,24,877454082,7,-47,SNMP/SIAE
28-11-2019 1500,HC-0111,HC-0240 DIR HC-0111,24,508655550,7,-46,SNMP/SIAE
28-11-2019 1500,HC-0020,HC-0016 DIR HC-0020,24,1313310314,7,-45,SNMP/SIAE
28-11-2019 1500,HC-0016,HC-0020 DIR HC-0016,24,3792941173,7,-47,SNMP/SIAE
28-11-2019 1500,HC-0059,HC-0020 DIR HC-0059,23,241519221,10,-44,SNMP/SIAE
28-11-2019 1500,HC-0020,HC-0059 DIR HC-0020,23,3822762764,10,-44,SNMP/SIAE
28-11-2019 1500,HC-0379,HC-0058 dir HC-0379,19,805799282,22,-40,SNMP/SIAE
28-11-2019 1500,HC-0058,HC-0379 dir HC-0058,19,3797165025,22,-41,SNMP/SIAE
28-11-2019 1500,HC-0350,HC-0379 DIR HC-0350,17,1927542221,22,-36,SNMP/SIAE
28-11-2019 1500,HC-0379,HC-0350 DIR HC-0379,17,3480071978,22,-37,SNMP/SIAE
28-11-2019 1500,HC-0140,HC-0350 dir HC-0140,23,2832784894,22,-38,SNMP/SIAE
28-11-2019 1500,HC-0350,HC-0140 dir HC-0350,23,846441321,22,-37,SNMP/SIAE
28-11-2019 1500,HC-0278,HC-0140 DIR HC-0278,19,2324300442,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0140,HC-0278 DIR HC-0140,19,3211091938,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0084,HC-0140 DIR HC-0084,23,951749311,10,-45,SNMP/SIAE
28-11-2019 1500,HC-0140,HC-0084 DIR HC-0140,23,1873912136,10,-45,SNMP/SIAE
28-11-2019 1500,HC-0167,HC-0137 DIR HC-0167,23,2368888878,10,-48,SNMP/SIAE
28-11-2019 1500,HC-0137,HC-0167 DIR HC-0137,23,369388314,10,-48,SNMP/SIAE
28-11-2019 1500,HC-0220,HC-0167 DIR HC-0220,23,1863347433,4,-39,SNMP/SIAE
28-11-2019 1500,HC-0167,HC-0220 DIR HC-0167,23,3091908108,4,-38,SNMP/SIAE
28-11-2019 1500,HC-0376,HC-0137 DIR HC-0376,23,3123926025,22,-36,SNMP/SIAE
28-11-2019 1500,HC-0137,HC-0376 DIR HC-0137,23,416109887,22,-35,SNMP/SIAE
28-11-2019 1500,HC-0237,HC-0376 DIR HC-0237,19,651569440,10,-40,SNMP/SIAE
28-11-2019 1500,HC-0376,HC-0237 DIR HC-0376,19,3972784910,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0022,HC-0376 DIR HC-0022,23,2440784155,10,-47,SNMP/SIAE
28-11-2019 1500,HC-0376,HC-0022 DIR HC-0376,23,2383398114,10,-47,SNMP/SIAE
28-11-2019 1500,HC-0386,HC-0376 DIR HC-0386,23,459235838,10,-47,SNMP/SIAE
28-11-2019 1500,HC-0376,HC-0386 DIR HC-0376,23,4291682795,10,-47,SNMP/SIAE
28-11-2019 1500,HC-0149,HC-0022 DIR HC-0149,19,1379653569,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0022,HC-0149 DIR HC-0022,19,779015323,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0081,HC-0137 DIR HC-0081,19,3864654162,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0137,HC-0081 DIR HC-0137,19,2534620666,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0221,HC-0081 DIR HC-0221,23,2402024397,4,-45,SNMP/SIAE
28-11-2019 1500,HC-0081,HC-0221 DIR HC-0081,23,4273308492,4,-44,SNMP/SIAE
28-11-2019 1500,HC-0060,HC-0376 DIR HC-0060,24,1371595977,7,-54,SNMP/SIAE
28-11-2019 1500,HC-0376,HC-0060 dir HC-0376,24,2859327247,7,-54,SNMP/SIAE
28-11-2019 1500,HC-0334,HC-0386 DIR HC-0334,15,189638839,10,-36,SNMP/SIAE
28-11-2019 1500,HC-0386,HC-0334 DIR HC-0386,15,2338661621,10,-38,SNMP/SIAE
28-11-2019 1500,HC-0091,HC-0386 DIR HC-0091,23,3791633652,4,-49,SNMP/SIAE
28-11-2019 1500,HC-0386,HC-0091 DIR HC-0386,23,674304638,4,-49,SNMP/SIAE
28-11-2019 1500,HC-0076,HC-0119 DIR HC-0076,23,115961151,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0119,HC-0076 DIR HC-0119,23,3198161880,10,-42,SNMP/SIAE
28-11-2019 1500,HC-0144,HC-0119 DIR HC-0144,24,972567956,7,-51,SNMP/SIAE
28-11-2019 1500,HC-0119,HC-0144 DIR HC-0119,24,66905415,7,-52,SNMP/SIAE
28-11-2019 1500,HC-0124,HC-0144 DIR HC-0124,24,983140798,7,-45,SNMP/SIAE
28-11-2019 1500,HC-0144,HC-0124 DIR HC-0144,24,3734680227,7,-45,SNMP/SIAE
