event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1600,HC-0285,HC-0259 dir HC-0285,27,2074334379,4,-47,SNMP/SIAE
28-11-2019 1600,HC-0259,HC-0285 dir HC-0259,27,1061019287,4,-45,SNMP/SIAE
28-11-2019 1600,HC-0104,HC-0259 dir HC-0104,27,3179326762,4,-55,SNMP/SIAE
28-11-2019 1600,HC-0259,HC-0104 dir HC-0259,27,3202418581,4,-56,SNMP/SIAE
28-11-2019 1600,HC-0108,HC-0259 dir HC-0108,23,1549428891,10,-45,SNMP/SIAE
28-11-2019 1600,HC-0259,HC-0108 dir HC-0259,23,174895019,10,-47,SNMP/SIAE
28-11-2019 1600,HC-0055,HC-0108 dir HC-0055,24,2890897385,7,-47,SNMP/SIAE
28-11-2019 1600,HC-0108,HC-0055 dir HC-0108,24,2608245514,7,-47,SNMP/SIAE
28-11-2019 1600,HC-0082,HC-0228 DIR HC-0082,23,958519982,10,-50,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0082 DIR HC-0228,23,1524682579,10,-50,SNMP/SIAE
28-11-2019 1600,HC-0205,HC-0082 DIR HC-0205,19,3039683562,10,-42,SNMP/SIAE
28-11-2019 1600,HC-0082,HC-0205 DIR HC-0082,19,1025855264,10,-41,SNMP/SIAE
28-11-2019 1600,HC-0131,HC-0205 DIR HC-0131,19,818051979,10,-39,SNMP/SIAE
28-11-2019 1600,HC-0205,HC-0131 DIR HC-0205,19,1563407279,10,-40,SNMP/SIAE
28-11-2019 1600,HC-0326,HC-0082 dir HC-0326,23,1229362051,4,-38,SNMP/SIAE
28-11-2019 1600,HC-0082,HC-0326 dir HC-0082,23,1742692960,4,-38,SNMP/SIAE
28-11-2019 1600,HC-0291,HC-0228 DIR HC-0291,23,1213650477,22,-41,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0291 DIR HC-0228,23,2507797635,22,-41,SNMP/SIAE
28-11-2019 1600,HC-0347,HC-0291 DIR HC-0347,23,864471192,10,-45,SNMP/SIAE
28-11-2019 1600,HC-0291,HC-0347 DIR HC-0291,23,2696117421,10,-45,SNMP/SIAE
28-11-2019 1600,HC-0222,HC-0347 DIR HC-0222,23,311933890,10,-41,SNMP/SIAE
28-11-2019 1600,HC-0347,HC-0222 DIR HC-0347,23,2517671477,10,-41,SNMP/SIAE
28-11-2019 1600,HC-0356,HC-0228 DIR HC-0356,23,4152409076,4,-46,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0356 DIR HC-0228,,1211338755,4,,SNMP/SIAE
28-11-2019 1600,HC-0214,HC-0228 DIR HC-0214,19,1838149992,10,-44,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0214 DIR HC-0228,19,626186991,10,-44,SNMP/SIAE
28-11-2019 1600,HC-0075,HC-0228 DIR HC-0075,14,650672346,22,-48,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0075 DIR HC-0228,14,267454015,22,-47,SNMP/SIAE
28-11-2019 1600,HC-0142,HC-0228 DIR HC-0142,19,614777158,10,-39,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0142 DIR HC-0228,19,3833357534,10,-41,SNMP/SIAE
28-11-2019 1600,HC-0120,HC-0228 DIR HC-0120,18,2973570976,22,-36,SNMP/SIAE
28-11-2019 1600,HC-0228,HC-0120 DIR HC-0228,18,3680592986,22,-36,SNMP/SIAE
28-11-2019 1600,HC-0118,HC-0142 DIR HC-0118,19,1208683580,10,-52,SNMP/SIAE
28-11-2019 1600,HC-0142,HC-0118 DIR HC-0142,19,614975136,10,-51,SNMP/SIAE
28-11-2019 1600,HC-0246,HC-0075 DIR HC-0246,23,2960387125,10,-49,SNMP/SIAE
