event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1545,HC-0285,HC-0259 dir HC-0285,27,2040592063,4,-47,SNMP/SIAE
28-11-2019 1545,HC-0259,HC-0285 dir HC-0259,27,736161871,4,-45,SNMP/SIAE
28-11-2019 1545,HC-0104,HC-0259 dir HC-0104,27,3172305692,4,-53,SNMP/SIAE
28-11-2019 1545,HC-0259,HC-0104 dir HC-0259,27,3198274387,4,-54,SNMP/SIAE
28-11-2019 1545,HC-0108,HC-0259 dir HC-0108,23,1515602405,10,-45,SNMP/SIAE
28-11-2019 1545,HC-0259,HC-0108 dir HC-0259,23,3953514573,10,-47,SNMP/SIAE
28-11-2019 1545,HC-0055,HC-0108 dir HC-0055,24,2873379942,7,-47,SNMP/SIAE
28-11-2019 1545,HC-0108,HC-0055 dir HC-0108,24,2316123215,7,-47,SNMP/SIAE
28-11-2019 1545,HC-0082,HC-0228 DIR HC-0082,23,788217344,10,-49,SNMP/SIAE
28-11-2019 1545,HC-0228,HC-0082 DIR HC-0228,23,1234568879,10,-49,SNMP/SIAE
28-11-2019 1545,HC-0205,HC-0082 DIR HC-0205,19,2895494330,10,-41,SNMP/SIAE
28-11-2019 1545,HC-0082,HC-0205 DIR HC-0082,19,985798545,10,-40,SNMP/SIAE
28-11-2019 1545,HC-0131,HC-0205 DIR HC-0131,19,680663678,10,-37,SNMP/SIAE
28-11-2019 1545,HC-0205,HC-0131 DIR HC-0205,19,1524437892,10,-39,SNMP/SIAE
28-11-2019 1545,HC-0326,HC-0082 dir HC-0326,23,1205197947,4,-38,SNMP/SIAE
28-11-2019 1545,HC-0082,HC-0326 dir HC-0082,23,1480030647,4,-38,SNMP/SIAE
28-11-2019 1545,HC-0291,HC-0228 DIR HC-0291,23,870069674,22,-39,SNMP/SIAE
28-11-2019 1545,HC-0228,HC-0291 DIR HC-0228,23,1455005672,22,-40,SNMP/SIAE
28-11-2019 1545,HC-0347,HC-0291 DIR HC-0347,23,540581261,10,-46,SNMP/SIAE
28-11-2019 1545,HC-0291,HC-0347 DIR HC-0291,23,1892460292,10,-47,SNMP/SIAE
28-11-2019 1545,HC-0222,HC-0347 DIR HC-0222,23,283882693,10,-42,SNMP/SIAE
28-11-2019 1545,HC-0347,HC-0222 DIR HC-0347,23,2114246789,10,-41,SNMP/SIAE
28-11-2019 1545,HC-0356,HC-0228 DIR HC-0356,23,4023670805,4,-42,SNMP/SIAE
28-11-2019 1545,HC-0228,HC-0356 DIR HC-0228,,1182947898,4,,SNMP/SIAE
28-11-2019 1545,HC-0214,HC-0228 DIR HC-0214,19,1836469673,10,-43,SNMP/SIAE
28-11-2019 1545,HC-0228,HC-0214 DIR HC-0228,19,600405538,10,-43,SNMP/SIAE
28-11-2019 1545,HC-0075,HC-0228 DIR HC-0075,14,289803383,22,-39,SNMP/SIAE
28-11-2019 1545,HC-0228,HC-0075 DIR HC-0228,14,3884802429,22,-39,SNMP/SIAE
