event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1530,HC-0285,HC-0259 dir HC-0285,27,2008442796,4,-47,SNMP/SIAE
28-11-2019 1530,HC-0259,HC-0285 dir HC-0259,27,467528306,4,-45,SNMP/SIAE
28-11-2019 1530,HC-0104,HC-0259 dir HC-0104,27,3165657673,4,-53,SNMP/SIAE
28-11-2019 1530,HC-0259,HC-0104 dir HC-0259,27,3194154175,4,-54,SNMP/SIAE
28-11-2019 1530,HC-0108,HC-0259 dir HC-0108,23,1478090211,10,-45,SNMP/SIAE
28-11-2019 1530,HC-0259,HC-0108 dir HC-0259,23,3392166832,10,-47,SNMP/SIAE
28-11-2019 1530,HC-0055,HC-0108 dir HC-0055,24,2852760831,7,-47,SNMP/SIAE
28-11-2019 1530,HC-0108,HC-0055 dir HC-0108,24,1991718735,7,-47,SNMP/SIAE
28-11-2019 1530,HC-0082,HC-0228 DIR HC-0082,23,608119110,10,-49,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0082 DIR HC-0228,23,612306287,10,-49,SNMP/SIAE
28-11-2019 1530,HC-0205,HC-0082 DIR HC-0205,19,2740101987,10,-40,SNMP/SIAE
28-11-2019 1530,HC-0082,HC-0205 DIR HC-0082,19,695706476,10,-39,SNMP/SIAE
28-11-2019 1530,HC-0131,HC-0205 DIR HC-0131,19,529186307,10,-37,SNMP/SIAE
28-11-2019 1530,HC-0205,HC-0131 DIR HC-0205,19,1246891003,10,-39,SNMP/SIAE
28-11-2019 1530,HC-0326,HC-0082 dir HC-0326,23,1183183598,4,-37,SNMP/SIAE
28-11-2019 1530,HC-0082,HC-0326 dir HC-0082,23,1147289835,4,-37,SNMP/SIAE
28-11-2019 1530,HC-0291,HC-0228 DIR HC-0291,23,544977563,22,-38,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0291 DIR HC-0228,23,639342310,22,-39,SNMP/SIAE
28-11-2019 1530,HC-0347,HC-0291 DIR HC-0347,23,233945489,10,-45,SNMP/SIAE
28-11-2019 1530,HC-0291,HC-0347 DIR HC-0291,23,1249881371,10,-45,SNMP/SIAE
28-11-2019 1530,HC-0222,HC-0347 DIR HC-0222,23,240070451,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0347,HC-0222 DIR HC-0347,23,1684374546,10,-43,SNMP/SIAE
28-11-2019 1530,HC-0356,HC-0228 DIR HC-0356,23,3884043572,4,-42,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0356 DIR HC-0228,,1044672849,4,,SNMP/SIAE
28-11-2019 1530,HC-0214,HC-0228 DIR HC-0214,19,1830120205,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0214 DIR HC-0228,19,572612139,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0075,HC-0228 DIR HC-0075,14,4240776295,22,-34,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0075 DIR HC-0228,14,3204164333,22,-34,SNMP/SIAE
28-11-2019 1530,HC-0142,HC-0228 DIR HC-0142,19,603640745,10,-33,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0142 DIR HC-0228,19,3801167381,10,-36,SNMP/SIAE
28-11-2019 1530,HC-0120,HC-0228 DIR HC-0120,18,2346064026,22,-33,SNMP/SIAE
28-11-2019 1530,HC-0228,HC-0120 DIR HC-0228,18,2800682040,22,-34,SNMP/SIAE
28-11-2019 1530,HC-0118,HC-0142 DIR HC-0118,19,1202523514,10,-40,SNMP/SIAE
28-11-2019 1530,HC-0142,HC-0118 DIR HC-0142,19,583727525,10,-37,SNMP/SIAE
28-11-2019 1530,HC-0246,HC-0075 DIR HC-0246,23,2824282852,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0075,HC-0246 DIR HC-0075,23,3485502353,10,-43,SNMP/SIAE
28-11-2019 1530,HC-0298,HC-0075 DIR HC-0298,24,1107353480,7,-50,SNMP/SIAE
28-11-2019 1530,HC-0075,HC-0298 DIR HC-0075,24,1237939316,7,-50,SNMP/SIAE
28-11-2019 1530,HC-0389,HC-0246 DIR HC-0389,19,3236154960,10,-40,SNMP/SIAE
28-11-2019 1530,HC-0246,HC-0389 DIR HC-0246,19,2546514406,10,-41,SNMP/SIAE
28-11-2019 1530,HC-0072,HC-0120 DIR HC-0072,23,2953700158,10,-45,SNMP/SIAE
28-11-2019 1530,HC-0120,HC-0072 DIR HC-0120,23,1038240503,10,-45,SNMP/SIAE
28-11-2019 1530,HC-0294,HC-0120 DIR HC-0294,23,782349176,4,-36,SNMP/SIAE
28-11-2019 1530,HC-0120,HC-0294 DIR HC-0120,23,541644339,4,-37,SNMP/SIAE
28-11-2019 1530,HC-0111,HC-0120 DIR HC-0111,23,2514100587,22,-37,SNMP/SIAE
28-11-2019 1530,HC-0120,HC-0111 DIR HC-0120,23,2418825508,22,-36,SNMP/SIAE
28-11-2019 1530,HC-0240,HC-0111 DIR HC-0240,24,1388696306,7,-47,SNMP/SIAE
28-11-2019 1530,HC-0111,HC-0240 DIR HC-0111,24,736310087,7,-46,SNMP/SIAE
28-11-2019 1530,HC-0020,HC-0016 DIR HC-0020,24,1666129473,7,-45,SNMP/SIAE
28-11-2019 1530,HC-0016,HC-0020 DIR HC-0016,24,723644035,7,-47,SNMP/SIAE
28-11-2019 1530,HC-0059,HC-0020 DIR HC-0059,23,485035186,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0020,HC-0059 DIR HC-0020,23,712124986,10,-44,SNMP/SIAE
28-11-2019 1530,HC-0379,HC-0058 dir HC-0379,19,1054651571,22,-40,SNMP/SIAE
28-11-2019 1530,HC-0058,HC-0379 dir HC-0058,19,1006454529,22,-41,SNMP/SIAE
28-11-2019 1530,HC-0350,HC-0379 DIR HC-0350,17,2148566506,22,-39,SNMP/SIAE
28-11-2019 1530,HC-0379,HC-0350 DIR HC-0379,17,622233639,22,-40,SNMP/SIAE
28-11-2019 1530,HC-0140,HC-0350 dir HC-0140,23,3042817531,22,-41,SNMP/SIAE
28-11-2019 1530,HC-0350,HC-0140 dir HC-0350,23,2179217460,22,-41,SNMP/SIAE
28-11-2019 1530,HC-0278,HC-0140 DIR HC-0278,19,2336569091,10,-41,SNMP/SIAE
28-11-2019 1530,HC-0140,HC-0278 DIR HC-0140,19,3396551336,10,-40,SNMP/SIAE
28-11-2019 1530,HC-0084,HC-0140 DIR HC-0084,23,954073898,10,-47,SNMP/SIAE
28-11-2019 1530,HC-0140,HC-0084 DIR HC-0140,23,1881761784,10,-46,SNMP/SIAE
28-11-2019 1530,HC-0167,HC-0137 DIR HC-0167,23,2454706869,10,-49,SNMP/SIAE
28-11-2019 1530,HC-0137,HC-0167 DIR HC-0137,23,843738333,10,-49,SNMP/SIAE
28-11-2019 1530,HC-0220,HC-0167 DIR HC-0220,23,1906461093,4,-43,SNMP/SIAE
28-11-2019 1530,HC-0167,HC-0220 DIR HC-0167,23,3218306522,4,-42,SNMP/SIAE
28-11-2019 1530,HC-0376,HC-0137 DIR HC-0376,23,3561676582,22,-36,SNMP/SIAE
28-11-2019 1530,HC-0137,HC-0376 DIR HC-0137,23,1925984513,22,-35,SNMP/SIAE
28-11-2019 1530,HC-0237,HC-0376 DIR HC-0237,19,897200646,10,-39,SNMP/SIAE
28-11-2019 1530,HC-0376,HC-0237 DIR HC-0376,19,4005981765,10,-36,SNMP/SIAE
28-11-2019 1530,HC-0022,HC-0376 DIR HC-0022,23,2530780539,10,-46,SNMP/SIAE
28-11-2019 1530,HC-0376,HC-0022 DIR HC-0376,23,2951302598,10,-47,SNMP/SIAE
28-11-2019 1530,HC-0386,HC-0376 DIR HC-0386,23,530564539,10,-46,SNMP/SIAE
