event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1315,HC-0285,HC-0259 dir HC-0285,27,1687346555,4,-47,SNMP/SIAE
28-11-2019 1315,HC-0259,HC-0285 dir HC-0259,27,1600589286,4,-45,SNMP/SIAE
28-11-2019 1315,HC-0104,HC-0259 dir HC-0104,27,3106650027,4,-54,SNMP/SIAE
28-11-2019 1315,HC-0259,HC-0104 dir HC-0259,27,3157375427,4,-53,SNMP/SIAE
28-11-2019 1315,HC-0108,HC-0259 dir HC-0108,23,1066521762,10,-45,SNMP/SIAE
28-11-2019 1315,HC-0259,HC-0108 dir HC-0259,23,4161900612,10,-47,SNMP/SIAE
28-11-2019 1315,HC-0055,HC-0108 dir HC-0055,24,2562973305,7,-47,SNMP/SIAE
28-11-2019 1315,HC-0108,HC-0055 dir HC-0108,24,3948026262,7,-47,SNMP/SIAE
28-11-2019 1315,HC-0082,HC-0228 DIR HC-0082,23,3229267034,10,-48,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0082 DIR HC-0228,23,4121332559,10,-48,SNMP/SIAE
28-11-2019 1315,HC-0205,HC-0082 DIR HC-0205,19,1232477949,10,-40,SNMP/SIAE
28-11-2019 1315,HC-0082,HC-0205 DIR HC-0082,19,1630761227,10,-39,SNMP/SIAE
28-11-2019 1315,HC-0131,HC-0205 DIR HC-0131,19,3386441005,10,-37,SNMP/SIAE
28-11-2019 1315,HC-0205,HC-0131 DIR HC-0205,19,2289879586,10,-39,SNMP/SIAE
28-11-2019 1315,HC-0326,HC-0082 dir HC-0326,23,1044239159,4,-37,SNMP/SIAE
28-11-2019 1315,HC-0082,HC-0326 dir HC-0082,23,3687915948,4,-37,SNMP/SIAE
28-11-2019 1315,HC-0291,HC-0228 DIR HC-0291,23,2030270135,22,-38,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0291 DIR HC-0228,23,2532105586,22,-38,SNMP/SIAE
28-11-2019 1315,HC-0347,HC-0291 DIR HC-0347,23,1895568283,10,-44,SNMP/SIAE
28-11-2019 1315,HC-0291,HC-0347 DIR HC-0291,23,4232019134,10,-44,SNMP/SIAE
28-11-2019 1315,HC-0222,HC-0347 DIR HC-0222,23,4257728159,10,-40,SNMP/SIAE
28-11-2019 1315,HC-0347,HC-0222 DIR HC-0347,23,3229685340,10,-41,SNMP/SIAE
28-11-2019 1315,HC-0356,HC-0228 DIR HC-0356,23,2610453028,4,-42,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0356 DIR HC-0228,,3791287167,4,,SNMP/SIAE
28-11-2019 1315,HC-0214,HC-0228 DIR HC-0214,19,1808717445,10,-42,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0214 DIR HC-0228,19,251518670,10,-42,SNMP/SIAE
28-11-2019 1315,HC-0075,HC-0228 DIR HC-0075,14,717701739,22,-34,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0075 DIR HC-0228,14,1811973234,22,-35,SNMP/SIAE
28-11-2019 1315,HC-0142,HC-0228 DIR HC-0142,19,455289194,10,-34,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0142 DIR HC-0228,19,3559601115,10,-36,SNMP/SIAE
28-11-2019 1315,HC-0120,HC-0228 DIR HC-0120,18,3742356116,22,-33,SNMP/SIAE
28-11-2019 1315,HC-0228,HC-0120 DIR HC-0228,18,3039686682,22,-34,SNMP/SIAE
28-11-2019 1315,HC-0118,HC-0142 DIR HC-0118,19,1183594587,10,-40,SNMP/SIAE
28-11-2019 1315,HC-0142,HC-0118 DIR HC-0142,19,440166145,10,-37,SNMP/SIAE
28-11-2019 1315,HC-0246,HC-0075 DIR HC-0246,23,1818112456,10,-44,SNMP/SIAE
28-11-2019 1315,HC-0075,HC-0246 DIR HC-0075,23,3601267061,10,-43,SNMP/SIAE
28-11-2019 1315,HC-0298,HC-0075 DIR HC-0298,24,2938824832,7,-50,SNMP/SIAE
28-11-2019 1315,HC-0075,HC-0298 DIR HC-0075,24,3888064630,7,-50,SNMP/SIAE
28-11-2019 1315,HC-0389,HC-0246 DIR HC-0389,19,2688197591,10,-41,SNMP/SIAE
28-11-2019 1315,HC-0246,HC-0389 DIR HC-0246,19,4083678167,10,-41,SNMP/SIAE
28-11-2019 1315,HC-0072,HC-0120 DIR HC-0072,23,2882629342,10,-45,SNMP/SIAE
28-11-2019 1315,HC-0120,HC-0072 DIR HC-0120,23,812642133,10,-45,SNMP/SIAE
28-11-2019 1315,HC-0294,HC-0120 DIR HC-0294,23,675613459,4,-37,SNMP/SIAE
28-11-2019 1315,HC-0120,HC-0294 DIR HC-0120,23,3681467954,4,-37,SNMP/SIAE
28-11-2019 1315,HC-0111,HC-0120 DIR HC-0111,23,4137921591,22,-37,SNMP/SIAE
28-11-2019 1315,HC-0120,HC-0111 DIR HC-0120,23,4282633125,22,-36,SNMP/SIAE
28-11-2019 1315,HC-0240,HC-0111 DIR HC-0240,24,3387839084,7,-47,SNMP/SIAE
28-11-2019 1315,HC-0111,HC-0240 DIR HC-0111,24,4217171900,7,-46,SNMP/SIAE
28-11-2019 1315,HC-0020,HC-0016 DIR HC-0020,24,517728331,7,-45,SNMP/SIAE
28-11-2019 1315,HC-0016,HC-0020 DIR HC-0016,24,3772845399,7,-47,SNMP/SIAE
28-11-2019 1315,HC-0059,HC-0020 DIR HC-0059,23,4079888322,10,-44,SNMP/SIAE
28-11-2019 1315,HC-0020,HC-0059 DIR HC-0020,23,392579600,10,-44,SNMP/SIAE
28-11-2019 1315,HC-0379,HC-0058 dir HC-0379,19,3672144539,22,-40,SNMP/SIAE
28-11-2019 1315,HC-0058,HC-0379 dir HC-0058,19,3269461365,22,-41,SNMP/SIAE
28-11-2019 1315,HC-0350,HC-0379 DIR HC-0350,17,735145282,22,-35,SNMP/SIAE
28-11-2019 1315,HC-0379,HC-0350 DIR HC-0379,17,180675492,22,-37,SNMP/SIAE
28-11-2019 1315,HC-0140,HC-0350 dir HC-0140,23,1715131362,22,-38,SNMP/SIAE
28-11-2019 1315,HC-0350,HC-0140 dir HC-0350,23,2025249778,22,-37,SNMP/SIAE
28-11-2019 1315,HC-0278,HC-0140 DIR HC-0278,19,2237412768,10,-38,SNMP/SIAE
